Date,borough_NM,borough_CD,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
15/02/2020,City of London,E09000001,-5,-9,-12,-11,NA,NA
16/02/2020,City of London,E09000001,-1,-21,-23,-13,NA,NA
17/02/2020,City of London,E09000001,-3,-2,4,-1,-4,NA
18/02/2020,City of London,E09000001,-2,-2,-1,-2,-2,NA
19/02/2020,City of London,E09000001,-7,-4,5,0,-4,NA
20/02/2020,City of London,E09000001,-7,-7,-11,-3,-3,NA
21/02/2020,City of London,E09000001,-3,-2,5,-3,-4,NA
22/02/2020,City of London,E09000001,4,5,11,-3,NA,NA
23/02/2020,City of London,E09000001,8,1,-4,-13,NA,NA
24/02/2020,City of London,E09000001,-7,-12,-13,-1,2,NA
25/02/2020,City of London,E09000001,-1,1,-5,-1,3,NA
26/02/2020,City of London,E09000001,0,-3,1,-3,6,NA
27/02/2020,City of London,E09000001,0,-4,-9,-1,4,NA
28/02/2020,City of London,E09000001,-2,-6,-12,0,0,NA
29/02/2020,City of London,E09000001,11,3,0,-4,NA,NA
01/03/2020,City of London,E09000001,22,14,9,10,NA,NA
02/03/2020,City of London,E09000001,-2,0,-25,-4,4,NA
03/03/2020,City of London,E09000001,-5,-1,-11,-7,3,NA
04/03/2020,City of London,E09000001,-6,-5,-7,-5,4,NA
05/03/2020,City of London,E09000001,-14,-17,-25,-2,1,NA
06/03/2020,City of London,E09000001,-4,2,5,-5,3,NA
07/03/2020,City of London,E09000001,2,4,12,-8,NA,NA
08/03/2020,City of London,E09000001,2,-4,-4,-17,NA,NA
09/03/2020,City of London,E09000001,-10,-5,-8,-8,-6,NA
10/03/2020,City of London,E09000001,-14,-5,-17,-10,-2,NA
11/03/2020,City of London,E09000001,-17,-8,-10,-15,-5,NA
12/03/2020,City of London,E09000001,-22,-11,-23,-20,-15,NA
13/03/2020,City of London,E09000001,-29,-15,-30,-27,-23,NA
14/03/2020,City of London,E09000001,-26,-15,-27,-28,NA,NA
15/03/2020,City of London,E09000001,-32,-24,-35,-38,NA,NA
16/03/2020,City of London,E09000001,-40,-20,-42,-40,-38,NA
17/03/2020,City of London,E09000001,-62,-40,-60,-56,-54,NA
18/03/2020,City of London,E09000001,-73,-46,-65,-66,-62,NA
19/03/2020,City of London,E09000001,-78,-47,-74,-70,-63,NA
