,duration,city,suburb,city_suburb,total,mean_duration,median_duration,max_duration,_5,6_10,11_15,16_20,21_25,26_30,31_40,41_50,51_60,61_120,120_
2019-01-02,358875.0,6157,6051,6592,19552,18.354899754500817,13.0,6578.0,2708,4850,4086,2828,1855,948,609,264,171,356,125
2019-01-03,361027.0,6681,6297,7548,21346,16.913098472781787,12.0,5551.0,2992,5545,4626,3209,2018,941,489,216,147,248,95
2019-01-04,344051.0,6281,6516,7134,20666,16.648166069873223,12.0,6088.0,3142,5514,4425,3020,1802,853,466,210,126,274,99
2019-01-05,253234.0,2866,6597,3803,13770,18.39026870007262,12.0,4244.0,2272,3320,2631,1835,1212,738,457,248,173,234,146
2019-01-06,294908.0,2735,7160,3792,14131,20.869577524591325,13.0,3390.0,2083,3121,2685,1929,1454,764,592,292,183,427,157
2019-01-07,373467.0,7630,7871,8961,25453,14.67280870624288,12.0,2290.0,3620,6897,5754,3804,2272,1155,512,176,78,132,62
2019-01-08,392790.0,8269,8319,9750,27495,14.285870158210583,12.0,643.0,3824,7377,6162,4135,2607,1184,533,193,90,175,58
2019-01-09,398803.0,7966,8096,9295,26350,15.13483870967742,12.0,8080.0,3941,7132,5836,4043,2392,1111,519,165,71,88,59
2019-01-10,377337.0,7784,7900,9061,25793,14.629434342651107,12.0,7465.0,3874,7002,5901,3858,2192,1054,480,158,65,99,62
2019-01-11,399740.0,7699,8416,8966,26179,15.269490813247259,12.0,5822.0,3862,7138,5821,3691,2304,1103,562,199,116,193,92
2019-01-12,320286.0,3403,8007,4619,16572,19.32693700217234,13.0,4665.0,2441,3916,3231,2184,1646,936,642,326,205,378,124
2019-01-13,336153.0,3309,7740,4563,16128,20.84281994047619,14.0,3702.0,2302,3631,2912,2176,1606,1000,706,369,251,511,148
2019-01-14,417992.0,8304,8540,9805,27877,14.994152885891594,12.0,1769.0,3864,7434,6188,4256,2551,1194,598,201,120,168,75
2019-01-15,420444.0,8505,8864,10367,29101,14.447750936393938,12.0,873.0,4118,7678,6491,4297,2748,1276,591,209,85,175,68
2019-01-16,365227.0,7218,7294,8732,24303,15.028062379130148,12.0,8903.0,3607,6637,5481,3654,2062,1040,404,139,60,112,48
2019-01-17,387745.0,7894,7880,9000,25849,15.000386862161012,12.0,6963.0,3857,7051,5663,3802,2321,1069,494,183,73,189,72
2019-01-18,386192.0,7682,7898,8698,25337,15.242214942574101,12.0,4487.0,3866,6883,5653,3603,2118,1057,531,177,112,185,93
2019-01-19,313955.0,3661,7627,4596,16488,19.041424065987385,13.0,3618.0,2615,3939,3117,2175,1582,874,606,326,214,324,112
2019-01-20,372320.0,3306,8257,4586,16620,22.401925391095066,14.0,3357.0,2230,3486,2890,2227,1845,1087,868,420,299,589,208
2019-01-21,384747.0,7896,8027,9301,26353,14.599741964861686,12.0,1448.0,3873,7060,5870,4021,2290,1114,531,166,83,140,76
2019-01-22,319300.0,7059,6800,8082,22881,13.954809667409641,12.0,756.0,3245,6344,5175,3412,2019,970,426,124,68,109,49
2019-01-23,369642.0,7778,7388,8949,25229,14.651472511791985,11.0,5333.0,3900,6908,5640,3686,2175,945,450,133,56,169,53
2019-01-24,349808.0,7373,7351,8446,24149,14.485403122282497,12.0,4013.0,3624,6740,5459,3534,2062,980,425,115,59,121,51
2019-01-25,381953.0,7307,7639,8110,23980,15.927981651376147,12.0,4755.0,3455,6496,5231,3490,2020,1119,554,234,128,221,108
2019-01-26,311984.0,3164,6947,4246,14894,20.946958506781254,13.0,3717.0,2244,3569,2777,1922,1385,838,616,313,191,355,147
2019-01-27,199325.0,2074,5156,2913,10498,18.986949895218135,12.0,2512.0,1775,2550,1999,1415,976,519,362,154,118,191,84
2019-01-28,380109.0,7616,7760,9189,25638,14.82600046805523,12.0,1573.0,3634,6824,5748,3851,2392,1084,467,207,95,191,72
2019-01-29,341151.0,7692,7164,8673,24528,13.908635029354208,12.0,742.0,3664,6790,5504,3579,2162,974,436,163,70,142,45
2019-01-30,381695.0,7760,7557,8955,25238,15.123821221966875,12.0,6527.0,3582,6707,5800,3753,2289,1137,518,174,87,165,60
2019-01-31,335469.0,7459,6726,8109,23245,14.431877823187783,12.0,6633.0,3516,6432,5298,3482,1926,898,413,115,66,104,44
2019-02-01,186766.0,3975,3887,4387,12742,14.657510594883064,10.0,5502.0,2202,3953,2816,1703,904,391,150,46,15,37,32
2019-02-02,259285.0,2947,6609,3908,13970,18.56012884753042,12.0,4202.0,2341,3339,2650,1910,1281,695,493,243,150,247,115
2019-02-03,301143.0,3148,6814,4023,14463,20.821613773076127,14.0,3204.0,1966,3116,2632,1969,1538,923,710,319,264,413,135
2019-02-04,253148.0,5517,5658,6138,18106,13.9814426157075,11.0,1374.0,2810,5138,4105,2638,1442,638,277,86,58,78,43
2019-02-05,350410.0,7834,7588,8890,25405,13.79295414288526,12.0,509.0,3753,7012,5727,3679,2188,1044,493,167,90,116,43
2019-02-06,418755.0,7994,7737,9142,25965,16.127671865973426,12.0,9314.0,3727,6889,5865,3839,2420,1107,530,199,93,146,58
2019-02-07,411006.0,8194,7986,9213,26427,15.552503121807243,12.0,7414.0,3784,7233,5960,3989,2310,1125,521,185,74,126,86
2019-02-08,267403.0,5194,5537,5911,17330,15.430063473744951,11.0,5084.0,2901,4950,3890,2331,1423,577,296,86,39,100,49
2019-02-09,364524.0,3807,7947,4766,17203,21.18955996047201,14.0,4782.0,2479,3652,3068,2350,1721,1113,789,469,263,478,138
2019-02-10,189633.0,2335,5089,2871,10699,17.724366763248902,12.0,3191.0,1878,2677,1968,1395,941,499,393,145,129,213,57
2019-02-11,413591.0,8181,8160,9738,27188,15.21226276298367,12.0,1445.0,3809,7105,6129,4040,2547,1216,554,216,112,263,88
2019-02-12,406571.0,8637,8645,10037,28459,14.286201201728803,12.0,783.0,4089,7676,6333,4295,2560,1236,574,180,130,180,66
2019-02-13,440507.0,8688,8805,10258,28907,15.238765696890027,12.0,5785.0,4102,7712,6356,4410,2667,1304,594,212,93,208,93
2019-02-14,466026.0,8683,9185,9946,29012,16.06321522128774,12.0,3158.0,4129,7534,6323,4213,2765,1264,699,293,167,286,141
2019-02-15,544837.0,8515,9297,9791,28575,19.066911636045493,13.0,5442.0,3783,7069,6130,4256,2768,1531,869,341,236,430,190
2019-02-16,459103.0,4550,9176,5929,20322,22.591428009054226,15.0,5029.0,2698,4113,3512,2855,2250,1358,1072,568,361,616,252
2019-02-17,628647.0,5124,11456,6769,24081,26.10551887380092,18.0,2478.0,2329,3996,3794,3479,2964,2013,1615,817,590,1310,442
2019-02-18,358647.0,6801,7250,8673,23630,15.177613203554802,12.0,2089.0,3325,6096,5282,3574,2315,1091,513,214,89,163,62
2019-02-19,461442.0,8500,8739,10259,28588,16.141108157268786,13.0,809.0,3811,7139,6252,4315,2642,1425,791,318,228,448,129
2019-02-20,499467.0,8444,8991,10244,28723,17.389095846534136,13.0,6503.0,3854,7203,6256,4369,2796,1314,732,362,226,414,153
2019-02-21,550934.0,9021,9678,10417,30182,18.253727387184416,13.0,4813.0,3801,7324,6488,4616,3013,1542,861,420,304,521,226
2019-02-22,587782.0,8596,9768,9990,29409,19.98646672787242,13.0,4647.0,3754,7112,5949,4215,2836,1587,1009,496,367,688,341
2019-02-23,800949.0,6199,13552,8263,28881,27.732730861119766,18.0,4280.0,2738,4936,4566,4137,3480,2288,1864,1025,774,1604,602
2019-02-24,733805.0,5066,12734,7157,25757,28.489536824940792,18.0,3370.0,2398,4223,4134,3501,3027,2065,1718,911,726,1604,650
2019-02-25,556022.0,9339,9599,10906,31196,17.82350301320682,13.0,1878.0,3854,7392,6671,4725,3157,1662,966,395,257,528,237
2019-02-26,589099.0,10009,10991,12182,34553,17.049141897953866,13.0,847.0,4341,8286,7456,5263,3454,1876,1019,481,258,514,234
2019-02-27,628483.0,10314,11016,12320,35034,17.939230461837074,13.0,8375.0,4314,8355,7427,5479,3542,1870,1160,465,274,556,208
2019-02-28,411723.0,8354,8006,9529,26963,15.269925453399102,12.0,4349.0,3720,7133,6114,4119,2558,1165,569,175,106,148,82
2019-03-01,479824.0,8615,8661,9628,28006,17.13290009283725,12.0,6092.0,3905,7424,6002,4005,2586,1277,715,312,182,361,135
2019-03-02,511361.0,4941,10211,6501,22537,22.68984336868261,15.0,3819.0,2758,4520,3813,3393,2456,1444,1165,623,428,793,260
2019-03-03,168433.0,1949,4695,2583,9552,17.633270519262982,12.0,2832.0,1661,2482,1815,1266,778,427,320,124,109,178,67
2019-03-04,392144.0,7899,8074,9249,26308,14.905884141705945,12.0,1779.0,3896,7077,5796,3821,2376,1133,598,199,83,163,80
2019-03-05,437526.0,8979,8798,10368,29366,14.899066948171354,12.0,547.0,4055,7702,6650,4198,2800,1316,693,243,133,258,97
2019-03-06,370943.0,7603,7895,8766,25235,14.69954428373291,12.0,7039.0,3707,6992,5704,3632,2228,1032,546,154,80,132,57
2019-03-07,372787.0,7551,7499,8578,24676,15.107270222078133,12.0,5756.0,3723,6802,5568,3518,2153,949,455,179,73,134,74
2019-03-08,354040.0,7105,7252,8143,23410,15.123451516445963,12.0,2429.0,3504,6261,5179,3436,2066,928,542,201,92,216,75
2019-03-09,433769.0,4287,9169,5544,19698,22.02096659559346,14.0,3400.0,2536,4188,3419,2640,2164,1316,1035,527,361,602,212
2019-03-10,227562.0,2447,5783,3327,11984,18.988818424566087,13.0,2659.0,1894,2788,2217,1581,1119,687,489,225,178,290,89
2019-03-11,438413.0,8266,8323,9712,27453,15.969584380577714,12.0,2140.0,3837,6867,6115,4145,2598,1309,710,235,138,256,91
2019-03-12,285524.0,6470,6428,7708,21528,13.262913415087327,11.0,640.0,3344,6152,4814,3089,1827,823,336,93,37,69,22
2019-03-13,396867.0,8042,8253,9183,26614,14.911963628165626,12.0,8307.0,4081,7301,5948,3788,2330,1084,499,164,72,134,77
2019-03-14,341639.0,7190,7344,7934,23485,14.547115179902065,11.0,3141.0,3651,6636,5158,3280,1938,889,450,152,95,159,60
2019-03-15,407295.0,7991,8010,8832,25874,15.741477931514261,12.0,4209.0,3769,6924,5585,3728,2393,1161,599,254,95,232,93
2019-03-16,273688.0,3112,6888,3949,14420,18.979750346740637,12.0,2321.0,2346,3478,2622,1939,1329,811,605,244,184,284,107
2019-03-17,314101.0,3124,6808,3823,14245,22.04991224991225,14.0,2251.0,2079,3098,2506,1986,1428,831,628,328,229,464,178
2019-03-18,423004.0,8207,8350,9848,27548,15.355161899230435,12.0,1425.0,3794,7160,6049,4160,2607,1268,631,259,128,243,106
2019-03-19,396955.0,8331,8261,9580,27339,14.519733713742273,12.0,846.0,3926,7314,6115,3924,2539,1179,575,209,109,206,76
2019-03-20,474301.0,8954,9151,10815,30176,15.71782211028632,12.0,5856.0,4181,7620,6671,4558,2954,1387,769,291,133,250,106
2019-03-21,511601.0,9514,9456,10773,31047,16.47827487357877,12.0,6444.0,4251,7879,6803,4661,3003,1387,823,339,159,298,140
2019-03-22,468260.0,7961,9237,9553,27966,16.743903311163557,12.0,5900.0,4014,7274,6001,4027,2536,1285,721,283,127,331,152
2019-03-23,628223.0,6115,10349,8078,25586,24.553388571875246,16.0,4253.0,2647,4799,4335,3758,2995,1942,1482,765,480,973,366
2019-03-24,772962.0,5600,13203,7413,27103,28.519425893812492,18.0,3055.0,2454,4340,4189,3619,3309,2323,1891,977,716,1695,703
2019-03-25,526586.0,8959,9487,11104,30931,17.024538488894635,13.0,1618.0,3950,7531,6554,4653,3140,1626,925,378,212,404,177
2019-03-26,504659.0,9262,9716,11288,31611,15.964664199171175,13.0,1191.0,4088,7784,6803,4952,3161,1565,882,357,151,396,127
2019-03-27,514282.0,9091,9606,11053,30992,16.59402426432628,12.0,6021.0,4183,7839,6790,4741,3024,1475,792,293,161,321,131
