,total
2020-01-01,56.0300736497545
2020-01-02,86.67197601424155
2020-01-03,88.28510597116036
2020-01-04,112.60711692084242
2020-01-05,90.75083150520133
2020-01-06,92.47240011000667
2020-01-07,99.04709947263139
2020-01-08,106.43643263757116
2020-01-09,102.30295041290272
2020-01-10,101.57378051109669
2020-01-11,108.75573256094617
2020-01-12,101.14707341269842
2020-01-13,84.79032894500843
2020-01-14,78.37874987113845
2020-01-15,91.65946590955849
2020-01-16,100.90138883515803
2020-01-17,100.89986975569325
2020-01-18,118.74696749150897
2020-01-19,106.58844765342961
2020-01-20,106.2839145448336
2020-01-21,124.51815917136489
2020-01-22,109.00550953268065
2020-01-23,116.68806161745829
2020-01-24,109.11175979983318
2020-01-25,120.86074929501814
2020-01-26,121.213564488474
2020-01-27,90.83781886262578
2020-01-28,113.75978473581215
2020-01-29,113.81250495284887
2020-01-30,119.20843192084318
2020-01-31,205.32098571652804
2020-02-01,143.60773085182535
2020-02-02,110.7170020051165
2020-02-03,154.78294488015024
2020-02-04,114.60342452273176
2020-02-05,113.39880608511457
2020-02-06,110.62171264237332
2020-02-07,161.4598961338719
2020-02-08,125.24559669825031
2020-02-09,59.93083465744462
2020-02-10,79.76680888627335
2020-02-11,93.82269229417759
2020-02-12,95.66195039263846
2020-02-13,86.93988694333379
2020-02-14,91.95800524934383
2020-02-15,47.89882885542762
2020-02-16,26.689090984593662
2020-02-17,107.84595852729582
2020-02-18,87.3303483979292
2020-02-19,83.78651255091738
2020-02-20,74.48810549334041
2020-02-21,83.83148015913497
2020-02-22,63.87590457394134
2020-02-23,54.0629731723415
2020-02-24,74.71791255289139
2020-02-25,77.54464156513183
2020-02-26,79.46851629845293
2020-02-27,74.84330378667062
2020-02-28,66.19652931514676
2020-02-29,55.12712428450992
2020-03-01,174.4137353433836
2020-03-02,99.85935837007754
2020-03-03,98.54593747871688
2020-03-04,91.93976619774124
2020-03-05,68.38223374939211
2020-03-06,118.32977360102521
2020-03-07,101.51792060107626
2020-03-08,123.05574098798398
2020-03-09,82.50464430116928
2020-03-10,129.45001858045336
2020-03-11,110.70113474111369
2020-03-12,113.29784969129231
2020-03-13,96.6800649300456
2020-03-14,128.5991678224688
2020-03-15,92.1937521937522
2020-03-16,87.54537534485262
2020-03-17,69.5928892790519
2020-03-18,57.09172852598091
2020-03-19,42.60637098592457
2020-03-20,48.455267110062216
2020-03-21,67.66591104510279
2020-03-22,59.0488137844519
2020-03-23,37.18599463321587
2020-03-24,31.656701781025593
2020-03-25,33.882937532266396
2020-03-26,33.907148212946765
2020-03-27,31.148196833742926
2020-03-28,39.24935606525206
2020-03-29,36.01909877648463
2020-03-30,21.920152091254753
2020-03-31,36.878674505611976
2020-04-01,33.8697061124148
2020-04-02,38.672678373675055
2020-04-03,40.335919203747075
2020-04-04,108.00970873786409
2020-04-05,170.64560521749536
2020-04-06,39.748667174409746
2020-04-07,57.440735748830576
2020-04-08,42.925414980724504
2020-04-09,56.27140760071766
2020-04-10,99.05031840100122
2020-04-11,167.96497123364392
2020-04-12,140.83034936610858
2020-04-13,58.24244210802135
2020-04-14,45.84658440401984
2020-04-15,48.46584120777669
2020-04-16,45.40858610972982
2020-04-17,30.714146937189486
2020-04-18,52.58616167444789
2020-04-19,109.04565692320456
2020-04-20,49.18974534853811
2020-04-21,53.602791509159644
2020-04-22,60.82317961872559
2020-04-23,68.96996715157204
2020-04-24,72.6825421857751
2020-04-25,206.04546452888206
2020-04-26,171.0908522143272
2020-04-27,50.69103745363168
2020-04-28,12.408967956720765
2020-04-29,30.0034566194262
2020-04-30,27.90157126475966
2020-05-01,51.907713251889795
2020-05-02,193.09287830795952
2020-05-03,117.45428849041603
2020-05-04,81.4178835406526
2020-05-05,52.663378185108435
2020-05-06,114.69343029337051
2020-05-07,95.90857386606
2020-05-08,126.25544396053685
2020-05-09,188.3405403260999
2020-05-10,73.55258976803304
2020-05-11,35.44882482654763
2020-05-12,50.0701369583514
2020-05-13,42.92918843428335
2020-05-14,52.99605781865966
2020-05-15,94.35039702652475
2020-05-16,163.94156381562377
2020-05-17,191.80557660251554
2020-05-18,81.50707929934524
2020-05-19,85.14535454724023
2020-05-20,105.49464303594674
2020-05-21,87.0056911164847
2020-05-22,98.37224419045556
2020-05-23,122.69475357710651
2020-05-24,208.04671554917226
2020-05-25,235.69538791562388
2020-05-26,110.42274267196936
2020-05-27,121.85066718361281
2020-05-28,102.64047533678226
2020-05-29,116.32019054029566
2020-05-30,171.42715240010926
2020-05-31,185.47069909360135
2020-06-01,102.23448574365632
2020-06-02,140.8499841420869
2020-06-03,75.51004144086707
2020-06-04,72.54839649373692
2020-06-05,113.04295463669209
2020-06-06,103.61020423658036
2020-06-07,133.562876323621
2020-06-08,214.88315813355516
2020-06-09,106.12462275874313
2020-06-10,66.54471706366564
2020-06-11,92.71419875209253
2020-06-12,79.72000719467593
2020-06-13,230.62563067608477
2020-06-14,220.72272248859784
2020-06-15,97.58005632627517
2020-06-16,125.67659690503783
2020-06-17,79.71345831428135
2020-06-18,66.72379244885045
2020-06-19,94.34159880600141
2020-06-20,173.44227118923826
2020-06-21,147.27953738993298
2020-06-22,110.9390151217339
2020-06-23,125.12620224241458
2020-06-24,130.7908091704282
2020-06-25,124.91028998157307
2020-06-26,127.06862075075303
2020-06-27,106.8267716535433
2020-06-28,123.71536786853956
2020-06-29,82.47536724035913
2020-06-30,66.76494364924628
2020-07-01,71.30426775931127
2020-07-02,62.4003984063745
2020-07-03,87.74065955013344
2020-07-04,123.71143240423312
2020-07-05,157.44493392070484
