,driving,walking
2020-01-13,100.0,100.0
2020-01-14,106.79,109.2
2020-01-15,111.3,114.16
2020-01-16,116.0,117.93
2020-01-17,138.02,143.42
2020-01-18,129.52,127.53
2020-01-19,116.02,113.68
2020-01-20,118.3,127.75
2020-01-21,114.27,120.06
2020-01-22,108.7,110.21
2020-01-23,95.34,92.92
2020-01-24,82.73,66.38
2020-01-25,75.22,52.37
2020-01-26,77.2,58.63
2020-01-27,71.15,55.42
2020-01-28,69.52,56.55
2020-01-29,68.28,55.99
2020-01-30,65.19,50.6
2020-01-31,65.86,52.98
2020-02-01,65.95,46.35
2020-02-02,63.83,46.4
2020-02-03,66.47,46.9
2020-02-04,67.04,49.33
2020-02-05,60.53,44.48
2020-02-06,64.82,47.15
2020-02-07,73.26,53.91
2020-02-08,68.55,47.96
2020-02-09,69.67,47.57
2020-02-10,64.46,45.78
2020-02-11,64.37,45.74
2020-02-12,63.81,44.96
2020-02-13,68.84,51.0
2020-02-14,79.4,61.39
2020-02-15,69.28,49.16
2020-02-16,63.47,42.81
2020-02-17,67.26,49.14
2020-02-18,69.49,51.68
2020-02-19,67.52,51.24
2020-02-20,69.97,53.59
2020-02-21,80.37,61.74
2020-02-22,79.72,57.89
2020-02-23,72.64,52.22
2020-02-24,62.77,46.86
2020-02-25,59.14,45.66
2020-02-26,63.84,49.5
2020-02-27,67.23,52.71
2020-02-28,77.09,61.24
2020-02-29,80.09,60.19
2020-03-01,70.97,52.72
2020-03-02,67.4,53.29
2020-03-03,68.29,53.31
2020-03-04,67.38,51.59
2020-03-05,67.34,55.22
2020-03-06,76.98,65.62
2020-03-07,75.58,60.46
2020-03-08,67.89,51.5
2020-03-09,68.7,54.07
2020-03-10,69.99,55.3
2020-03-11,66.71,54.21
2020-03-12,64.05,57.73
2020-03-13,74.9,67.49
2020-03-14,75.89,67.76
2020-03-15,66.07,58.36
2020-03-16,61.66,54.0
2020-03-17,59.13,51.35
2020-03-18,59.36,52.49
2020-03-19,59.17,52.87
2020-03-20,66.21,58.75
2020-03-21,60.63,54.44
2020-03-22,60.88,49.36
2020-03-23,56.57,47.1
2020-03-24,56.44,48.96
2020-03-25,54.05,43.76
2020-03-26,55.9,48.02
2020-03-27,58.81,47.82
2020-03-28,47.81,36.9
2020-03-29,48.82,35.75
2020-03-30,49.66,39.75
2020-03-31,50.5,40.49
2020-04-01,49.8,40.95
2020-04-02,49.85,40.47
2020-04-03,54.58,45.05
2020-04-04,46.96,39.78
2020-04-05,48.71,36.73
2020-04-06,52.01,42.78
2020-04-07,56.01,49.41
2020-04-08,55.89,48.01
2020-04-09,56.51,47.64
2020-04-10,53.53,46.26
2020-04-11,51.98,42.36
2020-04-12,53.91,45.68
2020-04-13,51.93,45.0
2020-04-14,52.19,46.13
2020-04-15,52.16,45.21
2020-04-16,53.58,46.74
2020-04-17,60.48,53.6
2020-04-18,56.29,47.14
2020-04-19,53.24,45.08
2020-04-20,52.94,44.21
2020-04-21,49.99,42.03
2020-04-22,49.13,40.47
2020-04-23,50.82,45.89
2020-04-24,58.65,53.71
2020-04-25,56.58,50.14
2020-04-26,57.33,53.44
2020-04-27,57.44,53.73
2020-04-28,59.31,52.13
2020-04-29,67.03,57.35
2020-04-30,65.99,55.68
2020-05-01,69.66,62.41
2020-05-02,64.16,52.18
2020-05-03,60.75,52.22
2020-05-04,59.37,51.22
2020-05-05,58.5,48.72
2020-05-06,59.05,50.15
2020-05-07,60.08,51.12
2020-05-08,70.43,61.86
2020-05-09,65.4,52.27
2020-05-10,57.96,46.44
2020-05-11,,
