,driving,transit,walking
2020-01-13,100.0,100.0,100.0
2020-01-14,107.65,105.14,108.89
2020-01-15,111.2,107.06,116.84
2020-01-16,108.29,106.08,118.82
2020-01-17,115.08,115.13,132.18
2020-01-18,122.2,126.63,160.29
2020-01-19,101.06,104.37,105.12
2020-01-20,105.14,103.68,108.02
2020-01-21,112.18,109.45,120.52
2020-01-22,114.32,112.85,124.81
2020-01-23,111.18,111.52,127.01
2020-01-24,118.01,120.06,137.38
2020-01-25,124.14,130.78,162.41
2020-01-26,99.42,105.11,97.16
2020-01-27,103.01,103.7,100.01
2020-01-28,105.92,105.84,113.27
2020-01-29,108.66,110.18,122.75
2020-01-30,109.46,111.72,124.96
2020-01-31,118.35,124.67,144.13
2020-02-01,121.48,129.92,161.17
2020-02-02,103.99,111.18,103.93
2020-02-03,101.6,104.18,105.67
2020-02-04,105.72,107.19,115.03
2020-02-05,110.51,111.08,125.42
2020-02-06,110.47,111.71,128.43
2020-02-07,115.7,120.48,140.65
2020-02-08,123.02,134.34,167.8
2020-02-09,96.79,103.13,76.79
2020-02-10,107.55,106.62,100.51
2020-02-11,109.8,109.07,115.26
2020-02-12,110.74,111.2,125.35
2020-02-13,115.47,110.18,124.69
2020-02-14,124.92,123.91,150.77
2020-02-15,120.86,131.79,149.35
2020-02-16,105.1,116.64,96.03
2020-02-17,121.24,123.55,131.2
2020-02-18,120.38,122.11,131.72
2020-02-19,122.6,125.12,137.59
2020-02-20,123.31,124.27,136.05
2020-02-21,129.1,133.95,153.95
2020-02-22,128.6,141.61,170.22
2020-02-23,105.81,111.26,104.41
2020-02-24,106.45,107.64,104.32
2020-02-25,108.69,109.44,119.88
2020-02-26,110.88,110.17,125.12
2020-02-27,111.38,111.27,123.88
2020-02-28,123.68,122.41,133.76
2020-02-29,127.92,129.48,153.92
2020-03-01,106.82,109.14,109.26
2020-03-02,103.19,102.74,103.64
2020-03-03,107.89,105.44,114.68
2020-03-04,111.68,106.93,114.25
2020-03-05,112.97,106.97,106.5
