,driving,transit,walking
2020-01-13,100.0,100.0,100.0
2020-01-14,101.51,92.66,96.09
2020-01-15,104.51,95.29,105.77
2020-01-16,108.78,96.42,101.73
2020-01-17,122.44,107.5,117.09
2020-01-18,99.7,101.22,115.37
2020-01-19,93.56,93.41,110.42
2020-01-20,97.6,87.91,88.56
2020-01-21,99.99,94.76,91.09
2020-01-22,101.69,98.07,98.48
2020-01-23,106.78,101.52,105.69
2020-01-24,121.91,114.06,131.74
2020-01-25,112.91,105.16,122.53
2020-01-26,89.93,85.92,98.1
2020-01-27,94.43,91.57,91.96
2020-01-28,97.47,91.79,93.49
2020-01-29,99.39,93.18,95.82
2020-01-30,103.34,98.02,100.4
2020-01-31,119.15,110.46,126.24
2020-02-01,116.34,109.24,136.71
2020-02-02,85.28,83.39,89.21
2020-02-03,95.86,91.31,97.54
2020-02-04,98.35,92.84,98.84
2020-02-05,99.11,93.88,98.97
2020-02-06,104.82,97.57,100.91
2020-02-07,117.89,111.75,122.43
2020-02-08,119.65,117.34,143.47
2020-02-09,93.07,89.88,102.55
2020-02-10,99.16,91.7,89.63
2020-02-11,102.68,95.7,98.37
2020-02-12,104.14,97.68,103.49
2020-02-13,111.82,103.34,106.9
2020-02-14,136.44,118.61,141.51
2020-02-15,121.06,113.45,144.7
2020-02-16,98.96,95.82,124.04
2020-02-17,103.57,100.99,115.57
2020-02-18,103.61,99.87,106.31
2020-02-19,107.16,102.57,112.61
2020-02-20,108.96,104.23,111.55
2020-02-21,124.45,115.72,132.75
2020-02-22,124.87,117.34,153.65
2020-02-23,97.11,87.97,108.09
2020-02-24,99.75,91.49,98.45
2020-02-25,103.04,92.14,94.25
2020-02-26,105.31,94.63,101.43
2020-02-27,108.88,97.48,102.48
2020-02-28,127.84,114.48,130.16
2020-02-29,126.33,115.21,138.83
2020-03-01,96.78,87.01,103.41
2020-03-02,102.58,92.87,102.8
2020-03-03,105.46,93.89,99.36
2020-03-04,107.92,98.65,110.29
2020-03-05,112.64,100.54,114.95
2020-03-06,126.8,108.43,121.34
2020-03-07,125.82,114.48,147.96
2020-03-08,96.7,86.13,110.32
2020-03-09,104.61,92.2,114.55
2020-03-10,101.42,85.1,102.1
2020-03-11,100.27,81.65,97.08
2020-03-12,93.95,69.1,83.02
2020-03-13,100.36,66.28,86.93
2020-03-14,88.65,58.17,80.86
2020-03-15,64.46,40.65,53.22
2020-03-16,67.81,36.57,45.04
2020-03-17,60.47,30.15,38.52
2020-03-18,59.38,27.35,38.01
2020-03-19,54.24,25.2,33.0
2020-03-20,59.45,24.13,38.56
2020-03-21,49.13,18.74,32.23
2020-03-22,34.34,14.97,22.22
2020-03-23,36.26,15.46,18.98
2020-03-24,42.53,16.52,27.06
2020-03-25,39.39,15.32,21.93
2020-03-26,43.45,16.05,27.1
2020-03-27,48.15,17.14,30.7
2020-03-28,37.18,13.4,20.61
2020-03-29,30.64,12.84,18.23
2020-03-30,39.39,15.43,23.46
2020-03-31,39.59,14.55,22.96
2020-04-01,41.2,14.39,25.07
2020-04-02,41.01,13.84,24.07
2020-04-03,43.97,13.76,23.7
2020-04-04,41.34,12.71,26.26
2020-04-05,34.1,12.03,21.96
2020-04-06,42.46,14.26,27.33
2020-04-07,42.49,13.54,26.41
2020-04-08,41.44,13.32,24.83
2020-04-09,40.03,12.73,21.52
2020-04-10,45.9,13.37,24.01
2020-04-11,44.55,12.52,26.8
2020-04-12,31.33,11.25,20.49
2020-04-13,36.46,12.75,19.22
2020-04-14,45.9,14.13,26.62
2020-04-15,46.55,13.42,25.84
2020-04-16,47.23,13.34,25.0
2020-04-17,51.86,13.46,27.12
2020-04-18,45.56,12.1,23.84
2020-04-19,42.87,12.61,27.06
2020-04-20,47.49,14.58,26.88
2020-04-21,44.69,13.49,23.22
2020-04-22,50.27,14.06,26.76
2020-04-23,49.36,14.03,25.58
2020-04-24,52.27,13.83,25.79
2020-04-25,57.52,14.08,34.81
2020-04-26,38.51,12.19,19.37
2020-04-27,48.12,14.98,25.33
2020-04-28,56.29,16.01,33.1
2020-04-29,51.8,15.39,27.39
2020-04-30,51.3,14.9,25.92
2020-05-01,61.39,16.51,32.66
2020-05-02,66.58,16.37,42.71
2020-05-03,55.59,15.64,36.23
2020-05-04,58.29,18.02,33.19
2020-05-05,62.13,17.96,35.24
2020-05-06,57.36,17.03,29.16
2020-05-07,63.77,17.64,36.79
2020-05-08,64.28,16.14,31.43
2020-05-09,65.61,15.41,33.37
2020-05-10,57.22,14.63,32.85
2020-05-11,,,
2020-05-12,,,
2020-05-13,68.48,18.45,38.51
2020-05-14,71.1,18.54,39.57
2020-05-15,84.12,20.14,48.47
2020-05-16,82.52,19.17,50.41
2020-05-17,65.55,17.42,39.91
2020-05-18,70.3,20.05,39.45
2020-05-19,74.14,20.02,41.29
2020-05-20,77.27,20.18,42.99
2020-05-21,81.65,20.81,45.87
2020-05-22,89.53,21.19,49.22
2020-05-23,72.63,18.05,37.71
2020-05-24,74.79,19.4,45.57
2020-05-25,69.55,20.75,43.0
2020-05-26,82.71,23.33,48.13
2020-05-27,85.27,23.22,48.88
2020-05-28,81.9,22.2,44.69
2020-05-29,91.98,23.33,50.81
2020-05-30,96.18,24.22,59.86
2020-05-31,78.61,21.25,48.6
2020-06-01,82.96,24.33,50.4
2020-06-02,80.97,24.42,48.68
2020-06-03,79.87,22.37,43.22
2020-06-04,91.0,24.83,51.73
2020-06-05,93.55,24.1,48.82
2020-06-06,100.86,26.42,58.64
2020-06-07,86.66,25.28,51.87
2020-06-08,92.18,29.69,53.58
2020-06-09,100.69,30.39,57.44
2020-06-10,98.67,29.56,55.13
2020-06-11,91.57,27.4,47.9
2020-06-12,118.14,32.8,67.72
2020-06-13,111.98,30.61,68.19
2020-06-14,90.69,27.9,54.09
2020-06-15,98.02,31.34,55.74
2020-06-16,103.47,32.34,59.99
2020-06-17,104.3,32.05,59.28
2020-06-18,106.3,32.31,59.45
2020-06-19,126.65,37.48,76.36
2020-06-20,116.95,32.9,68.66
2020-06-21,89.91,28.85,50.68
2020-06-22,109.55,37.0,62.04
2020-06-23,113.58,37.82,66.96
2020-06-24,114.63,37.75,66.04
2020-06-25,118.19,38.22,68.27
2020-06-26,135.63,41.52,79.4
2020-06-27,116.3,35.44,67.25
2020-06-28,100.91,34.24,59.3
2020-06-29,115.7,40.51,66.7
2020-06-30,114.29,38.73,65.33
2020-07-01,116.68,38.98,64.71
2020-07-02,134.71,43.94,75.84
2020-07-03,122.37,38.13,68.42
2020-07-04,104.35,38.15,70.16
2020-07-05,100.21,34.58,57.4
2020-07-06,111.22,39.14,60.83
2020-07-07,115.68,41.36,69.0
2020-07-08,116.19,41.48,66.59
2020-07-09,126.98,45.38,76.13
2020-07-10,114.03,35.25,57.93
2020-07-11,121.99,39.64,72.49
2020-07-12,118.33,41.64,71.61
2020-07-13,117.54,43.21,69.22
2020-07-14,123.96,45.44,74.52
2020-07-15,124.75,44.93,74.92
2020-07-16,127.08,44.67,76.08
2020-07-17,135.13,45.44,79.74
2020-07-18,137.93,48.72,86.28
2020-07-19,113.92,41.67,65.19
2020-07-20,118.19,44.56,67.03
2020-07-21,123.11,46.42,72.32
2020-07-22,119.4,42.97,66.1
2020-07-23,123.38,43.37,70.44
2020-07-24,135.89,46.23,78.79
2020-07-25,141.19,51.61,90.53
2020-07-26,115.37,43.28,67.45
2020-07-27,122.71,47.13,70.48
2020-07-28,123.5,46.83,71.98
2020-07-29,129.46,49.14,76.3
2020-07-30,128.9,47.56,74.59
2020-07-31,135.53,48.66,81.42
2020-08-01,141.94,50.66,91.65
2020-08-02,104.84,39.81,62.84
2020-08-03,123.74,48.54,73.75
2020-08-04,103.28,42.04,55.97
2020-08-05,144.32,53.21,83.26
2020-08-06,138.52,49.81,81.04
2020-08-07,142.53,50.24,82.71
2020-08-08,141.47,51.7,94.24
2020-08-09,121.89,47.33,76.9
2020-08-10,128.89,50.62,76.64
2020-08-11,130.87,50.63,78.69
2020-08-12,126.56,47.64,72.69
2020-08-13,127.45,46.72,72.9
2020-08-14,148.85,55.75,92.08
2020-08-15,141.53,54.6,95.57
2020-08-16,99.08,38.2,56.59
2020-08-17,123.29,51.68,77.17
2020-08-18,130.33,53.73,83.89
2020-08-19,123.86,49.75,76.18
2020-08-20,135.63,55.29,87.59
2020-08-21,149.98,58.65,96.39
2020-08-22,143.88,55.97,96.89
2020-08-23,113.86,47.32,75.02
2020-08-24,121.94,52.29,76.79
2020-08-25,123.91,52.22,77.15
2020-08-26,127.88,53.22,82.53
2020-08-27,125.49,49.8,76.03
2020-08-28,140.71,55.04,89.61
2020-08-29,119.75,47.59,81.37
2020-08-30,120.6,50.17,82.68
2020-08-31,117.46,49.09,76.96
2020-09-01,120.92,49.23,80.1
2020-09-02,120.24,49.11,77.86
2020-09-03,128.38,51.79,81.56
2020-09-04,152.09,59.41,101.39
2020-09-05,139.13,57.42,105.61
2020-09-06,118.49,49.0,87.4
2020-09-07,106.79,49.15,75.62
2020-09-08,119.42,51.71,78.8
2020-09-09,119.99,51.53,78.75
2020-09-10,117.52,47.97,71.56
2020-09-11,144.16,59.99,100.83
2020-09-12,144.16,60.36,110.01
2020-09-13,108.24,47.2,76.65
2020-09-14,114.76,50.49,75.44
2020-09-15,118.19,50.35,78.07
2020-09-16,118.17,51.16,79.11
2020-09-17,123.4,53.07,82.06
2020-09-18,142.13,58.55,97.27
2020-09-19,142.23,61.66,109.69
2020-09-20,107.52,50.43,77.22
2020-09-21,108.88,49.18,72.01
2020-09-22,112.39,49.6,75.49
2020-09-23,116.76,52.08,79.63
2020-09-24,119.13,52.39,80.37
2020-09-25,141.72,61.3,101.16
2020-09-26,141.1,63.75,112.78
2020-09-27,107.92,49.82,78.37
2020-09-28,107.93,50.37,73.9
2020-09-29,106.6,47.02,66.64
2020-09-30,112.6,50.69,75.36
2020-10-01,119.21,54.46,81.35
2020-10-02,133.83,59.66,94.32
2020-10-03,138.65,63.07,110.23
