,driving,transit,walking
2020-01-13,100.0,100.0,100.0
2020-01-14,104.24,101.56,103.91
2020-01-15,100.77,96.2,98.65
2020-01-16,102.6,90.65,92.05
2020-01-17,106.42,94.28,107.4
2020-01-18,87.23,86.9,95.08
2020-01-19,98.47,96.54,96.7
2020-01-20,105.84,106.43,101.03
2020-01-21,110.45,107.95,106.47
2020-01-22,108.99,106.53,98.18
2020-01-23,111.37,100.54,104.38
2020-01-24,107.68,99.94,112.0
2020-01-25,87.12,95.21,95.5
2020-01-26,81.78,84.97,80.78
2020-01-27,100.64,100.23,91.42
2020-01-28,103.45,101.02,98.18
2020-01-29,105.39,101.47,99.04
2020-01-30,111.26,105.62,101.94
2020-01-31,117.52,106.83,110.17
2020-02-01,91.46,91.41,90.51
2020-02-02,99.97,98.59,93.45
2020-02-03,102.96,99.05,98.04
2020-02-04,106.96,101.34,102.11
2020-02-05,111.22,99.08,100.49
2020-02-06,111.06,95.84,87.3
2020-02-07,110.1,98.24,102.61
2020-02-08,81.53,69.92,62.5
2020-02-09,119.58,102.6,91.27
2020-02-10,114.21,111.57,104.23
2020-02-11,113.88,106.11,105.23
2020-02-12,113.04,104.55,107.35
2020-02-13,123.87,112.73,121.86
2020-02-14,131.84,122.36,139.71
2020-02-15,103.04,109.0,114.06
2020-02-16,108.47,113.43,107.75
2020-02-17,112.88,116.56,109.23
2020-02-18,119.24,121.88,115.01
2020-02-19,118.95,116.25,115.37
2020-02-20,123.19,117.16,120.11
2020-02-21,130.89,120.89,134.88
2020-02-22,101.23,104.99,110.66
2020-02-23,106.61,113.13,105.36
2020-02-24,114.31,121.87,112.12
2020-02-25,115.11,117.25,113.08
2020-02-26,116.27,114.78,117.7
2020-02-27,123.2,122.11,124.86
2020-02-28,130.95,123.17,143.47
2020-02-29,108.83,114.96,154.63
2020-03-01,106.23,113.51,100.17
2020-03-02,110.4,113.18,103.45
2020-03-03,108.68,103.42,97.11
2020-03-04,110.73,102.87,94.63
2020-03-05,115.05,108.35,112.1
2020-03-06,122.89,114.47,131.64
2020-03-07,94.03,95.87,102.99
2020-03-08,101.07,101.04,93.43
2020-03-09,103.08,99.24,97.75
2020-03-10,105.99,100.12,101.63
2020-03-11,107.69,98.58,102.9
2020-03-12,109.83,95.98,100.87
2020-03-13,103.22,82.59,93.68
2020-03-14,76.9,65.33,74.61
2020-03-15,82.16,68.29,67.04
2020-03-16,83.9,64.88,66.33
2020-03-17,84.16,61.81,64.7
2020-03-18,83.8,60.58,62.98
2020-03-19,87.23,61.08,62.69
2020-03-20,81.16,57.33,67.05
2020-03-21,61.55,45.24,49.94
2020-03-22,69.82,40.05,46.16
2020-03-23,64.62,33.71,42.02
2020-03-24,63.54,29.89,39.98
2020-03-25,59.29,25.98,36.91
2020-03-26,63.54,26.31,40.51
2020-03-27,51.6,23.56,38.85
2020-03-28,39.13,19.36,31.22
2020-03-29,54.38,24.68,35.65
2020-03-30,56.55,23.53,38.36
2020-03-31,55.14,22.19,35.5
2020-04-01,55.91,21.63,34.24
2020-04-02,57.53,21.86,36.44
2020-04-03,47.37,19.51,36.82
2020-04-04,38.55,18.02,34.82
2020-04-05,56.56,22.76,38.21
2020-04-06,57.1,21.86,37.35
2020-04-07,58.91,21.07,36.57
2020-04-08,62.47,21.69,39.51
2020-04-09,34.29,16.65,29.6
2020-04-10,41.1,17.46,38.02
2020-04-11,29.2,14.46,32.22
2020-04-12,34.71,17.02,35.28
2020-04-13,57.97,22.97,41.93
2020-04-14,61.87,23.58,43.71
2020-04-15,62.03,23.18,42.82
2020-04-16,65.12,24.05,46.2
2020-04-17,55.81,23.12,48.41
2020-04-18,40.98,19.08,36.98
2020-04-19,58.92,23.48,39.63
2020-04-20,62.16,24.19,44.32
2020-04-21,64.49,24.43,44.98
2020-04-22,65.49,24.04,44.64
2020-04-23,69.89,25.13,48.02
2020-04-24,55.24,23.17,46.76
2020-04-25,46.62,20.44,38.43
2020-04-26,60.67,23.83,39.36
2020-04-27,62.76,24.76,40.5
2020-04-28,65.43,25.39,43.07
2020-04-29,61.52,22.66,33.88
2020-04-30,69.21,24.93,42.0
2020-05-01,66.12,25.65,46.91
2020-05-02,52.98,23.28,40.81
2020-05-03,65.59,27.15,41.79
2020-05-04,67.16,27.06,41.59
2020-05-05,70.34,29.49,45.42
2020-05-06,71.94,28.09,44.69
2020-05-07,78.6,30.91,49.4
2020-05-08,81.09,32.79,57.96
2020-05-09,57.23,26.37,40.91
2020-05-10,69.44,30.77,44.04
2020-05-11,,,
2020-05-12,,,
2020-05-13,74.75,29.92,42.25
2020-05-14,81.37,31.02,45.44
2020-05-15,84.66,34.67,57.33
2020-05-16,68.49,30.99,48.7
2020-05-17,76.26,33.54,45.81
2020-05-18,79.82,34.75,49.7
2020-05-19,83.2,35.4,51.26
2020-05-20,82.42,34.5,47.22
2020-05-21,84.59,34.11,48.65
2020-05-22,90.63,37.65,59.17
2020-05-23,68.54,31.33,43.8
2020-05-24,79.54,35.41,43.8
2020-05-25,81.13,36.96,45.96
2020-05-26,87.25,39.71,52.43
2020-05-27,91.12,41.52,55.68
2020-05-28,94.73,39.99,52.33
2020-05-29,102.08,44.79,72.6
2020-05-30,79.34,38.62,55.06
2020-05-31,86.23,42.65,52.77
2020-06-01,87.43,41.07,50.14
2020-06-02,91.4,43.36,55.25
2020-06-03,94.65,43.1,55.52
2020-06-04,105.69,46.82,60.96
2020-06-05,109.06,52.52,80.16
2020-06-06,81.75,42.01,58.15
2020-06-07,76.77,37.73,49.94
2020-06-08,89.72,45.16,52.99
2020-06-09,91.51,43.48,50.88
2020-06-10,95.17,46.69,60.01
2020-06-11,102.57,47.9,59.21
2020-06-12,107.59,55.15,82.75
2020-06-13,86.13,47.14,65.08
2020-06-14,91.89,47.13,58.28
2020-06-15,95.19,49.54,60.93
2020-06-16,97.88,48.45,58.07
2020-06-17,98.95,50.12,61.46
2020-06-18,109.19,53.84,68.89
2020-06-19,116.61,61.41,89.96
2020-06-20,85.96,49.16,67.11
2020-06-21,93.23,49.83,58.47
2020-06-22,98.26,52.78,61.91
2020-06-23,101.84,53.32,64.91
2020-06-24,105.86,55.27,69.49
2020-06-25,114.21,58.72,72.67
2020-06-26,118.2,64.29,90.87
2020-06-27,94.41,54.31,73.11
2020-06-28,99.26,54.41,60.23
2020-06-29,102.18,55.78,65.71
2020-06-30,107.22,58.25,71.02
2020-07-01,110.23,59.71,73.69
2020-07-02,119.14,62.45,79.83
2020-07-03,127.61,66.86,96.68
2020-07-04,103.64,56.92,79.33
2020-07-05,108.23,60.22,73.31
2020-07-06,110.28,61.65,74.01
2020-07-07,112.98,61.27,76.17
2020-07-08,116.97,62.47,79.74
2020-07-09,124.24,64.64,82.97
2020-07-10,122.7,61.67,89.73
2020-07-11,98.65,52.67,77.21
2020-07-12,103.41,55.49,68.57
2020-07-13,99.51,52.55,61.07
2020-07-14,106.69,56.73,70.04
2020-07-15,109.4,56.68,71.31
2020-07-16,115.2,57.52,74.58
2020-07-17,121.58,61.97,87.11
2020-07-18,99.68,53.71,74.68
2020-07-19,99.96,53.21,63.82
2020-07-20,100.89,52.34,62.35
2020-07-21,104.33,52.03,64.87
2020-07-22,105.99,52.08,66.06
2020-07-23,112.04,54.33,69.66
2020-07-24,119.64,56.19,84.43
2020-07-25,80.03,39.38,51.94
2020-07-26,89.09,44.75,48.41
2020-07-27,93.8,47.67,53.86
2020-07-28,103.01,51.23,63.16
2020-07-29,106.16,51.08,64.28
2020-07-30,108.88,52.51,66.17
2020-07-31,123.2,60.81,84.91
2020-08-01,96.03,50.81,69.25
2020-08-02,97.91,49.22,59.4
2020-08-03,99.39,49.93,59.83
2020-08-04,102.71,49.79,61.43
2020-08-05,102.87,48.87,60.77
2020-08-06,103.76,47.05,55.81
2020-08-07,109.77,50.14,72.8
2020-08-08,84.86,40.39,55.22
2020-08-09,88.06,42.95,48.26
2020-08-10,96.76,47.57,55.84
2020-08-11,101.32,48.56,59.76
2020-08-12,104.85,50.43,63.48
2020-08-13,109.55,51.3,65.1
2020-08-14,121.02,56.22,83.78
2020-08-15,96.22,47.78,68.46
2020-08-16,96.74,48.44,58.83
2020-08-17,98.9,50.12,59.51
2020-08-18,102.94,49.52,61.44
2020-08-19,104.4,49.73,61.77
2020-08-20,112.57,53.1,66.16
2020-08-21,123.4,58.57,82.35
2020-08-22,98.08,47.4,64.62
2020-08-23,96.86,49.38,56.37
2020-08-24,100.13,49.03,58.47
2020-08-25,104.64,52.85,63.21
2020-08-26,112.17,54.5,65.67
2020-08-27,113.42,54.3,68.55
2020-08-28,126.7,61.73,88.87
2020-08-29,108.54,52.8,76.84
2020-08-30,99.57,50.73,60.15
2020-08-31,101.69,51.4,60.2
2020-09-01,105.51,53.36,64.82
2020-09-02,112.91,57.34,67.26
2020-09-03,114.78,53.95,65.91
