,city,suburb,city_suburb,count,unclassified
2020-01-01,2727,4729,3215,10955,284.0
2020-01-02,5383,6339,6220,18501,559.0
2020-01-03,5279,6307,6133,18245,526.0
2020-01-04,3236,7468,4434,15506,368.0
2020-01-05,2363,6527,3611,12824,323.0
2020-01-06,7111,7306,8392,23537,728.0
2020-01-07,8124,8572,9698,27233,839.0
2020-01-08,8333,8862,9959,28046,892.0
2020-01-09,7982,8150,9416,26387,839.0
2020-01-10,7954,8525,9217,26591,895.0
2020-01-11,3424,9082,5083,18023,434.0
2020-01-12,3070,8334,4576,16313,333.0
2020-01-13,7221,7165,8413,23637,838.0
2020-01-14,6942,6845,8157,22809,865.0
2020-01-15,6582,7364,7620,22276,710.0
2020-01-16,8047,7915,9267,26082,853.0
2020-01-17,7742,8017,9018,25565,788.0
2020-01-18,4010,9450,5623,19579,496.0
2020-01-19,3471,8964,4871,17715,409.0
2020-01-20,8356,8630,10050,28009,973.0
2020-01-21,8405,8886,10169,28491,1031.0
2020-01-22,8382,8407,9768,27501,944.0
2020-01-23,8599,8572,10001,28179,1007.0
2020-01-24,7788,8497,9012,26165,868.0
2020-01-25,3927,8467,5091,18001,516.0
2020-01-26,2535,6249,3619,12725,322.0
2020-01-27,7136,6930,8438,23289,785.0
2020-01-28,8428,8517,9978,27903,980.0
2020-01-29,8487,9006,10233,28724,998.0
2020-01-30,8430,8444,9909,27710,927.0
2020-01-31,7995,8094,9128,26162,945.0
2020-02-01,4408,9322,5813,20062,519.0
2020-02-02,3226,7895,4501,16013,391.0
2020-02-03,8342,8696,10037,28025,950.0
2020-02-04,8712,8935,10463,29115,1005.0
2020-02-05,8860,8894,10687,29444,1003.0
2020-02-06,8831,8758,10597,29234,1048.0
2020-02-07,8482,8835,9771,27981,893.0
2020-02-08,4900,9893,6240,21546,513.0
2020-02-09,1415,3099,1747,6412,151.0
2020-02-10,6709,6493,7710,21687,775.0
2020-02-11,8212,8025,9545,26701,919.0
2020-02-12,8571,8335,9809,27653,938.0
2020-02-13,7983,7602,8750,25223,888.0
2020-02-14,7864,8475,9089,26277,849.0
2020-02-15,1920,4976,2669,9734,169.0
2020-02-16,1333,3141,1781,6427,172.0
2020-02-17,7491,8121,9037,25484,835.0
2020-02-18,7469,7620,9050,24966,827.0
2020-02-19,7063,7411,8773,24066,819.0
2020-02-20,6850,6856,8016,22482,760.0
2020-02-21,7252,8123,8490,24654,789.0
2020-02-22,4113,8296,5455,18448,584.0
2020-02-23,2948,6662,3940,13925,375.0
2020-02-24,6999,6980,8508,23309,822.0
2020-02-25,7971,8254,9648,26794,921.0
2020-02-26,8501,8443,10022,27841,875.0
2020-02-27,6202,6429,6855,20180,694.0
2020-02-28,5483,5883,6537,18539,636.0
2020-02-29,2533,6070,3500,12424,321.0
2020-03-01,3304,8192,4802,16660,362.0
2020-03-02,7695,8200,9395,26271,981.0
2020-03-03,8597,8843,10477,28939,1022.0
2020-03-04,6844,7011,8554,23201,792.0
2020-03-05,4979,5018,6300,16874,577.0
2020-03-06,8126,8954,9801,27701,820.0
2020-03-07,4418,9224,5803,19997,552.0
2020-03-08,2997,7156,4208,14747,386.0
2020-03-09,6651,6704,8542,22650,753.0
2020-03-10,8256,8327,10323,27868,962.0
2020-03-11,8374,9092,10974,29462,1022.0
2020-03-12,7547,8182,9977,26608,902.0
2020-03-13,6816,8390,9062,25015,747.0
2020-03-14,3898,8830,5316,18544,500.0
2020-03-15,2546,6484,3780,13133,323.0
2020-03-16,5983,8592,8845,24117,697.0
2020-03-17,4354,7411,6731,19026,530.0
2020-03-18,3545,7473,5788,17228,422.0
2020-03-19,2719,5796,4340,13228,373.0
2020-03-20,2510,6409,4262,13551,370.0
2020-03-21,2520,10086,4400,17313,307.0
2020-03-22,2420,9569,3733,16004,282.0
2020-03-23,2010,5645,3588,11502,259.0
2020-03-24,1607,5427,2728,10007,245.0
2020-03-25,1793,5725,2747,10501,236.0
2020-03-26,1787,6072,2762,10853,232.0
2020-03-27,1819,6048,2787,10900,246.0
2020-03-28,1954,7547,3056,12800,243.0
2020-03-29,1153,4302,1636,7242,151.0
2020-03-30,1223,3618,1915,6918,162.0
2020-03-31,1451,4956,2331,8970,232.0
2020-04-01,1571,4859,2450,9093,213.0
2020-04-02,1650,5341,2546,9778,241.0
2020-04-03,1803,6069,2879,11023,272.0
2020-04-04,3165,12846,5409,21805,385.0
2020-04-05,4634,16381,6927,28520,578.0
2020-04-06,1811,5632,2764,10438,231.0
2020-04-07,2321,8182,3665,14490,322.0
2020-04-08,2111,7498,3527,13473,337.0
2020-04-09,2725,9779,4337,17250,409.0
2020-04-10,4048,15831,6450,26909,580.0
2020-04-11,5074,19301,7886,32990,729.0
2020-04-12,4835,16977,6720,29104,572.0
2020-04-13,2816,10401,4219,17782,346.0
2020-04-14,2353,8083,3622,14416,358.0
2020-04-15,2855,10169,4398,17849,427.0
2020-04-16,2630,9177,4196,16437,434.0
2020-04-17,1787,6039,2979,11066,261.0
2020-04-18,3134,11513,4967,20049,435.0
2020-04-19,6040,22855,9718,39432,819.0
2020-04-20,2787,9704,4358,17211,362.0
2020-04-21,2960,10446,4629,18434,399.0
2020-04-22,3371,11885,5165,20866,445.0
2020-04-23,3880,13288,5832,23516,516.0
2020-04-24,3612,13097,5887,23044,448.0
2020-04-25,5607,21357,9813,37525,748.0
2020-04-26,6132,21974,9356,38285,823.0
2020-04-27,2794,9411,4390,16945,350.0
2020-04-28,847,2442,1358,4771,124.0
2020-04-29,1879,5992,3128,11284,285.0
2020-04-30,1507,4778,2512,9003,206.0
2020-05-01,2322,7881,3960,14489,326.0
2020-05-02,5906,21085,9997,37796,808.0
2020-05-03,4187,15370,6509,26594,528.0
2020-05-04,3023,10037,4637,18065,368.0
2020-05-05,3053,9870,4694,18043,426.0
2020-05-06,3759,12738,6045,23027,485.0
2020-05-07,4479,14956,7027,26981,519.0
2020-05-08,6703,23746,11266,42615,900.0
2020-05-09,7193,27395,11942,47475,945.0
2020-05-10,3681,13429,5560,23147,477.0
2020-05-11,2264,7006,3643,13182,269.0
2020-05-12,3452,10517,5274,19632,389.0
2020-05-13,2836,8692,4704,16599,367.0
2020-05-14,3381,10756,5616,20165,412.0
2020-05-15,4376,15479,7535,27923,533.0
2020-05-16,6623,25629,12366,45561,943.0
2020-05-17,7877,28445,13301,50629,1006.0
2020-05-18,4642,16325,7632,29129,530.0
2020-05-19,5596,19409,8960,34678,713.0
2020-05-20,6625,23535,11265,42143,718.0
2020-05-21,5807,19655,9501,35621,658.0
2020-05-22,5701,19714,10183,36321,723.0
2020-05-23,5895,22822,10760,40131,654.0
2020-05-24,8457,30667,14965,55045,956.0
2020-05-25,9925,37776,17014,65924,1209.0
2020-05-26,6345,20486,9944,37483,708.0
2020-05-27,6457,20454,10078,37714,725.0
2020-05-28,6721,21965,10683,40077,708.0
2020-05-29,7507,24643,11919,44931,862.0
2020-05-30,10857,38502,18367,69032,1306.0
2020-05-31,10078,34399,16234,62001,1290.0
2020-06-01,6332,20302,10433,37792,725.0
2020-06-02,7521,24004,11998,44410,887.0
2020-06-03,5477,13010,9287,28425,651.0
2020-06-04,4955,13701,8111,27395,628.0
2020-06-05,4854,14577,8180,28159,548.0
2020-06-06,4607,12656,9212,27293,818.0
2020-06-07,6282,20099,11204,38597,1012.0
2020-06-08,5006,14425,8343,28414,640.0
2020-06-09,6183,18496,10326,35868,863.0
2020-06-10,3085,7989,5316,16734,344.0
2020-06-11,4318,12164,7374,24369,513.0
2020-06-12,4743,13315,7979,26593,556.0
2020-06-13,10341,34863,17605,63994,1185.0
2020-06-14,8522,32033,14941,56622,1126.0
