date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,-26,-4,-26,-34,-18,14
2020-02-16,-28,-12,-35,-36,-19,13
2020-02-17,-23,-3,-14,-32,-21,15
2020-02-18,-24,-5,-11,-33,-21,16
2020-02-19,-24,-8,-11,-31,-17,14
2020-02-20,-24,-11,-12,-28,-11,12
2020-02-21,-24,-5,-14,-31,-21,17
2020-02-22,-23,-1,-5,-30,-16,13
2020-02-23,-24,-4,-7,-31,-17,11
2020-02-24,-23,-7,-10,-31,-19,14
2020-02-25,-24,-9,-9,-31,-19,15
2020-02-26,-24,-11,-8,-30,-15,14
2020-02-27,-24,-10,-14,-27,-9,12
2020-02-28,-23,-6,-13,-29,-19,16
2020-02-29,-22,-2,-6,-25,-14,12
2020-03-01,-22,-5,-5,-27,-15,10
2020-03-02,-22,-5,-14,-27,-14,13
2020-03-03,-22,-4,-9,-28,-14,14
2020-03-04,-24,-13,-21,-27,-11,13
2020-03-05,-22,-9,-18,-24,-5,11
2020-03-06,-20,-4,-12,-26,-14,15
2020-03-07,-20,0,-4,-24,-12,11
2020-03-08,-21,-6,-10,-26,-15,10
2020-03-09,-21,-8,-13,-26,-13,13
2020-03-10,-20,-4,-3,-26,-12,13
2020-03-11,-21,-7,-14,-26,-9,12
2020-03-12,-22,-9,-13,-22,-3,10
2020-03-13,-20,-3,-12,-26,-13,14
2020-03-14,-20,-1,-4,-24,-12,11
2020-03-15,-18,2,1,-23,-14,9
2020-03-16,-20,-3,-1,-25,-12,12
2020-03-17,-22,-6,-7,-28,-12,13
2020-03-18,-25,-14,-25,-29,-9,13
2020-03-19,-25,-16,-23,-25,-3,11
2020-03-20,-22,-4,-20,-28,-13,15
2020-03-21,-24,-1,-20,-30,-13,13
2020-03-22,-25,-2,-11,-32,-15,12
2020-03-23,-24,0,-10,-32,-17,14
2020-03-24,-27,-3,-12,-34,-19,16
2020-03-25,-27,-5,-12,-33,-16,15
2020-03-26,-28,-9,-21,-31,-11,13
2020-03-27,-26,1,-16,-33,-20,18
2020-03-28,-31,-4,-38,-37,-17,16
2020-03-29,-35,-7,-43,-45,-24,16
2020-03-30,-32,-10,-39,-37,-23,17
2020-03-31,-31,-11,-38,-36,-23,18
2020-04-01,-29,-5,-24,-34,-20,16
2020-04-02,-29,-5,-23,-31,-15,14
2020-04-03,-28,3,-25,-34,-24,19
2020-04-04,-32,0,-25,-42,-43,19
2020-04-05,-37,-16,-52,-47,-27,17
2020-04-06,-34,-19,-43,-39,-25,18
2020-04-07,-27,1,-18,-35,-23,17
2020-04-08,-26,-3,-13,-33,-19,15
2020-04-09,-24,-1,-7,-27,-14,12
2020-04-10,-28,7,0,-43,-58,27
2020-04-11,-31,-4,-21,-41,-38,19
2020-04-12,-27,-1,-9,-34,-22,13
2020-04-13,-26,7,13,-45,-60,25
2020-04-14,-25,-1,-10,-32,-20,16
2020-04-15,-24,-4,-7,-30,-17,15
2020-04-16,-24,-6,-7,-29,-12,12
2020-04-17,-23,-1,-10,-37,-21,18
2020-04-18,-26,-2,-13,-31,-16,14
2020-04-19,-26,-5,-16,-33,-19,13
2020-04-20,-24,-4,-11,-34,-19,14
2020-04-21,-25,-6,-12,-35,-19,15
2020-04-22,-29,-13,-39,-38,-16,15
2020-04-23,-26,-8,-27,-33,-9,13
2020-04-24,-25,-6,-28,-36,-19,18
2020-04-25,-23,1,-18,-31,-15,13
2020-04-26,-23,-2,-15,-32,-17,12
2020-04-27,-22,-3,-8,-34,-17,14
2020-04-28,-22,-5,-7,-33,-17,13
2020-04-29,-19,-1,-5,-29,-13,9
2020-04-30,-20,7,15,-33,-51,18
2020-05-01,-22,7,13,-40,-61,25
2020-05-02,-21,5,-8,-28,-16,12
2020-05-03,-22,1,-13,-31,-16,11
2020-05-04,-21,-2,-10,-31,-13,12
2020-05-05,-21,-3,-10,-31,-12,13
2020-05-06,-21,-2,-11,-29,-9,12
2020-05-07,-20,-5,-11,-24,-3,9
2020-05-08,-17,2,-15,-25,-12,13
2020-05-09,-16,4,-16,-22,-10,10
2020-05-10,-13,4,-20,-21,-9,8
2020-05-11,-18,-2,-16,-27,-11,11
2020-05-12,-19,-2,-19,-27,-11,12
2020-05-13,-19,-3,-16,-25,-7,11
2020-05-14,-19,-6,-17,-21,0,8
2020-05-15,-17,1,-14,-23,-12,11
2020-05-16,-17,7,-12,-20,-10,10
2020-05-17,-17,3,-15,-23,-11,9
2020-05-18,-22,-9,-32,-27,-12,12
2020-05-19,-19,0,-16,-25,-10,12
2020-05-20,-18,-5,-19,-23,-6,10
2020-05-21,-20,-10,-31,-21,-1,9
2020-05-22,-17,0,-26,-24,-12,13
2020-05-23,-16,7,-21,-21,-10,10
2020-05-24,-16,3,-9,-21,-10,9
2020-05-25,-21,-8,-25,-26,-12,12
2020-05-26,-18,-4,-23,-25,-9,11
2020-05-27,-18,-5,-18,-23,-6,10
2020-05-28,-16,-4,-17,-17,2,7
2020-05-29,-13,3,-17,-19,-9,11
2020-05-30,-22,-7,-45,-27,-13,12
2020-05-31,-14,6,-20,-21,-9,9
2020-06-01,-15,2,-14,-21,-7,9
2020-06-02,-17,0,-19,-22,-6,9
2020-06-03,-15,1,-14,-20,-2,8
2020-06-04,-16,-4,-12,-18,4,7
2020-06-05,-13,3,-17,-19,-8,10
2020-06-06,-18,1,-36,-22,-11,10
2020-06-07,-24,-9,-51,-33,-16,12
2020-06-08,-20,-6,-37,-24,-8,10
2020-06-09,-15,3,-19,-20,-4,9
2020-06-10,-14,1,-14,-18,-1,7
2020-06-11,-13,-2,-14,-14,6,5
2020-06-12,-11,6,-15,-16,-6,9
2020-06-13,-14,10,-28,-19,-8,9
2020-06-14,-19,-2,-38,-28,-12,11
2020-06-15,-13,2,-16,-19,-5,8
2020-06-16,-14,0,-17,-18,-4,8
2020-06-17,-12,0,-13,-16,0,7
2020-06-18,-12,-3,-15,-13,7,4
2020-06-19,-10,2,-14,-15,-5,8
2020-06-20,-10,5,-14,-14,-8,6
2020-06-21,-9,4,-17,-16,-7,6
2020-06-22,-11,2,-13,-17,-6,7
2020-06-23,-12,2,-13,-17,-5,7
2020-06-24,-9,0,-9,-13,0,5
2020-06-25,-11,5,8,-26,-55,16
2020-06-26,-11,2,-13,-16,-9,9
2020-06-27,-13,3,-17,-18,-10,8
2020-06-28,-12,2,-16,-19,-9,7
2020-06-29,-11,2,-12,-17,-6,7
2020-06-30,-7,6,-8,-15,-5,6
2020-07-01,-14,7,4,-34,-58,20
2020-07-02,-13,-1,-18,-13,6,4
2020-07-03,-11,3,-23,-16,-6,9
2020-07-04,-11,7,-18,-17,-8,7
2020-07-05,-12,4,-19,-20,-10,7
2020-07-06,-10,6,-12,-17,-6,7
2020-07-07,-8,17,-10,-15,-6,7
2020-07-08,-11,11,-12,-16,-2,7
2020-07-09,-12,8,-14,-13,3,5
2020-07-10,-13,16,-17,-17,-9,10
2020-07-11,-16,17,-20,-21,-12,10
2020-07-12,-19,15,-25,-26,-15,10
2020-07-13,-20,15,-17,-25,-13,11
2020-07-14,-22,17,-19,-27,-15,12
2020-07-15,-29,17,-22,-28,-16,14
2020-07-16,-30,10,-23,-26,-11,12
2020-07-17,-30,15,-24,-29,-22,17
2020-07-18,-32,15,-28,-33,-22,15
2020-07-19,-36,10,-34,-39,-27,15
2020-07-20,-33,18,-26,-35,-28,17
2020-07-21,-35,15,-26,-37,-30,19
2020-07-22,-35,10,-26,-36,-27,18
2020-07-23,-37,6,-29,-34,-23,16
2020-07-24,-37,9,-30,-37,-31,22
2020-07-25,-38,9,-35,-38,-28,18
2020-07-26,-41,4,-41,-43,-31,17
2020-07-27,-35,17,-29,-37,-31,19
2020-07-28,-35,14,-29,-38,-32,20
2020-07-29,-50,0,-34,-40,-33,20
2020-07-30,-49,-3,-35,-37,-28,18
2020-07-31,-41,0,-49,-39,-35,23
2020-08-01,-42,2,-52,-41,-31,19
2020-08-02,-41,6,-53,-43,-33,18
2020-08-03,-38,4,-41,-38,-33,20
2020-08-04,-37,6,-31,-37,-33,20
2020-08-05,-38,1,-40,-37,-29,19
2020-08-06,-36,5,-30,-33,-24,16
2020-08-07,-35,11,-30,-35,-32,21
2020-08-08,-34,13,-31,-33,-27,16
2020-08-09,-36,9,-36,-37,-30,15
2020-08-10,-33,10,-26,-34,-30,17
2020-08-11,-34,8,-26,-36,-31,18
2020-08-12,-36,3,-39,-36,-28,18
2020-08-13,-34,6,-32,-31,-23,15
2020-08-14,-33,11,-30,-33,-31,20
2020-08-15,-33,14,-30,-30,-25,15
2020-08-16,-33,11,-34,-34,-28,14
2020-08-17,-33,8,-30,-34,-29,17
2020-08-18,-35,8,-41,-35,-28,18
2020-08-19,-45,-10,-51,-47,-42,27
2020-08-20,-30,11,-27,-27,-17,13
2020-08-21,-31,13,-27,-30,-27,18
2020-08-22,-30,17,-29,-27,-22,14
2020-08-23,-30,17,-31,-30,-25,13
2020-08-24,-30,10,-25,-30,-24,15
2020-08-25,-30,10,-25,-31,-24,15
2020-08-26,-30,7,-29,-29,-20,14
2020-08-27,-30,7,-30,-27,-14,12
2020-08-28,-25,14,-26,-27,-23,16
2020-08-29,-25,18,-27,-24,-19,11
2020-08-30,-25,16,-29,-26,-21,11
2020-08-31,-24,12,-23,-27,-20,13
2020-09-01,-26,10,-28,-28,-20,14
2020-09-02,-26,10,-28,-27,-16,12
2020-09-03,-26,9,-28,-24,-11,10
2020-09-04,-24,16,-27,-25,-20,14
2020-09-05,-24,18,-30,-23,-18,11
2020-09-06,-23,19,-28,-25,-20,10
2020-09-07,-24,11,-27,-26,-19,12
2020-09-08,-27,6,-35,-28,-20,13
2020-09-09,-25,9,-27,-25,-14,11
2020-09-10,-25,7,-30,-22,-8,9
2020-09-11,-19,15,-25,-22,-17,12
2020-09-12,-20,17,-31,-20,-15,10
2020-09-13,-17,23,-26,-21,-16,9
2020-09-14,-21,11,-25,-24,-13,10
2020-09-15,-26,-1,-41,-27,-14,13
2020-09-16,-20,13,-25,-20,-8,9
2020-09-17,-22,3,-34,-20,-3,8
2020-09-18,-20,10,-35,-22,-14,12
2020-09-19,-19,15,-35,-19,-13,9
2020-09-20,-16,20,-27,-19,-14,8
2020-09-21,-22,1,-35,-22,-13,10
2020-09-22,-19,17,-24,-21,-12,10
2020-09-23,-19,18,-25,-17,-6,8
2020-09-24,-20,12,-28,-14,0,6
2020-09-25,-17,20,-26,-16,-11,10
2020-09-26,-16,26,-23,-13,-11,7
2020-09-27,-16,23,-27,-15,-14,8
2020-09-28,-18,15,-28,-17,-10,8
2020-09-29,-16,20,-26,-15,-9,8
2020-09-30,-12,24,-25,-9,-5,4
2020-10-01,-16,33,9,-23,-56,13
2020-10-02,-16,33,8,-26,-61,20
2020-10-03,-16,27,-15,-16,-15,8
2020-10-04,-16,21,-17,-18,-14,8
2020-10-05,-17,18,-22,-14,-10,7
2020-10-06,-16,21,-16,-15,-8,7
2020-10-07,-16,19,-16,-13,-3,6
2020-10-08,-17,18,-16,-10,4,4
2020-10-09,-15,21,-17,-12,-8,7
2020-10-10,-15,25,-15,-13,-9,6
2020-10-11,-15,23,-15,-15,-12,7
2020-10-12,-16,25,-16,-14,-7,6
2020-10-13,-55,-26,-73,-69,-76,37
2020-10-14,-16,21,-23,-11,0,6
2020-10-15,-15,20,-15,-7,6,3
2020-10-16,-13,27,-15,-10,-6,8
2020-10-17,-14,29,-14,-11,-9,7
2020-10-18,-13,27,-13,-12,-12,7
2020-10-19,-15,21,-13,-14,-7,7
2020-10-20,-15,21,-13,-14,-6,7
2020-10-21,-15,20,-12,-12,0,6
2020-10-22,-14,22,-12,-8,7,3
2020-10-23,-12,29,-14,-12,-6,8
2020-10-24,-13,29,-13,-13,-10,6
2020-10-25,-8,31,0,-5,-13,4
2020-10-26,-10,38,21,-26,-60,17
2020-10-27,-14,24,-12,-13,-5,6
2020-10-28,-16,17,-25,-12,0,6
2020-10-29,-15,22,-16,-8,8,3
2020-10-30,-11,29,-16,-12,-5,7
2020-10-31,-11,33,-10,-13,-7,6
2020-11-01,-11,30,-12,-13,-10,6
2020-11-02,-14,26,-14,-15,-4,6
2020-11-03,-14,30,-15,-13,-4,7
2020-11-04,-15,24,-15,-13,1,6
2020-11-05,-15,23,-14,-9,8,4
2020-11-06,-12,29,-14,-11,-5,7
2020-11-07,-12,36,-14,-12,-8,6
2020-11-08,-11,30,-12,-12,-11,6
2020-11-09,-14,25,-13,-15,-5,7
2020-11-10,-15,27,-13,-15,-4,7
2020-11-11,-14,25,-13,-12,1,6
2020-11-12,-14,24,-13,-9,7,4
2020-11-13,-12,31,-16,-12,-6,8
2020-11-14,-13,30,-16,-14,-9,7
2020-11-15,-10,33,-10,-10,-11,5
2020-11-16,-15,23,-12,-16,-5,7
2020-11-17,-15,24,-13,-15,-4,7
2020-11-18,-16,22,-16,-14,0,6
2020-11-19,-16,20,-16,-10,7,4
2020-11-20,-13,26,-16,-13,-6,8
2020-11-21,-15,29,-22,-15,-10,7
2020-11-22,-15,29,-18,-16,-13,7
2020-11-23,-19,23,-21,-19,-8,8
2020-11-24,-19,21,-17,-19,-7,9
2020-11-25,-19,23,-18,-17,-3,8
2020-11-26,-19,21,-18,-14,3,6
2020-11-27,-17,28,-17,-17,-9,10
2020-11-28,-17,31,-17,-17,-11,8
2020-11-29,-17,29,-18,-17,-14,8
2020-11-30,-19,25,-19,-20,-10,9
2020-12-01,-19,25,-17,-20,-10,10
2020-12-02,-25,25,-21,-25,-14,12
2020-12-03,-25,25,-23,-22,-9,10
2020-12-04,-24,27,-25,-24,-19,15
2020-12-05,-23,33,-23,-22,-16,11
2020-12-06,-24,28,-22,-24,-20,11
2020-12-07,-24,23,-19,-26,-20,13
2020-12-08,-26,22,-21,-27,-19,14
2020-12-09,-26,18,-22,-26,-16,13
2020-12-10,-31,16,-23,-25,-13,12
2020-12-11,-30,19,-24,-27,-23,17
2020-12-12,-29,27,-25,-26,-19,13
2020-12-13,-28,25,-22,-26,-23,12
2020-12-14,-30,15,-23,-29,-22,14
2020-12-15,-30,16,-27,-30,-23,15
2020-12-16,-30,16,-28,-28,-18,14
2020-12-17,-31,14,-28,-25,-13,12
2020-12-18,-29,23,-24,-26,-23,16
2020-12-19,-28,28,-26,-23,-19,12
2020-12-20,-27,27,-28,-24,-23,11
2020-12-21,-26,27,-21,-26,-24,14
2020-12-22,-28,19,-19,-28,-24,15
2020-12-23,-27,22,-26,-25,-20,13
2020-12-24,-22,34,-11,-19,-17,11
2020-12-25,-26,36,-4,-32,-64,24
2020-12-26,-31,20,-17,-31,-40,16
2020-12-27,-27,21,-14,-23,-22,11
2020-12-28,-26,19,-10,-26,-25,14
2020-12-29,-27,21,-10,-26,-25,14
2020-12-30,-26,23,-20,-25,-21,13
2020-12-31,-23,34,-17,-21,-18,11
2021-01-01,-30,29,-8,-38,-66,26
