date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,2.0,-5.0,0.0,-1.0,0.0,0.0
2020-02-16,6.0,-2.0,4.0,1.0,-2.0,0.0
2020-02-17,-5.0,-12.0,13.0,-25.0,-51.0,10.0
2020-02-18,0.0,-2.0,5.0,-5.0,-6.0,2.0
2020-02-19,2.0,-1.0,15.0,-1.0,-4.0,1.0
2020-02-20,3.0,-1.0,6.0,-1.0,-5.0,1.0
2020-02-21,-2.0,-5.0,-7.0,-4.0,-5.0,2.0
2020-02-22,6.0,4.0,25.0,5.0,7.0,-1.0
2020-02-23,0.0,2.0,18.0,1.0,2.0,-1.0
2020-02-24,1.0,1.0,17.0,1.0,4.0,0.0
2020-02-25,-3.0,-3.0,3.0,-1.0,3.0,1.0
2020-02-26,-1.0,0.0,4.0,-1.0,3.0,0.0
2020-02-27,1.0,2.0,6.0,0.0,3.0,0.0
2020-02-28,0.0,1.0,-6.0,0.0,3.0,0.0
2020-02-29,1.0,2.0,-2.0,-1.0,6.0,0.0
2020-03-01,-3.0,2.0,-7.0,-3.0,1.0,0.0
2020-03-02,3.0,6.0,17.0,-3.0,4.0,0.0
2020-03-03,0.0,6.0,5.0,-1.0,3.0,0.0
2020-03-04,3.0,9.0,13.0,-3.0,2.0,0.0
2020-03-05,2.0,10.0,14.0,-2.0,2.0,0.0
2020-03-06,-8.0,-3.0,-18.0,-4.0,-1.0,3.0
2020-03-07,1.0,9.0,8.0,-2.0,7.0,0.0
2020-03-08,-5.0,3.0,11.0,-4.0,0.0,0.0
2020-03-09,0.0,6.0,34.0,-7.0,-3.0,2.0
2020-03-10,-6.0,7.0,12.0,-11.0,-7.0,4.0
2020-03-11,-10.0,7.0,9.0,-15.0,-12.0,5.0
2020-03-12,-19.0,20.0,-4.0,-20.0,-18.0,8.0
2020-03-13,-30.0,12.0,-18.0,-30.0,-26.0,10.0
2020-03-14,-37.0,7.0,-14.0,-35.0,-9.0,5.0
2020-03-15,-46.0,-2.0,-28.0,-42.0,-17.0,7.0
2020-03-16,-48.0,-4.0,-40.0,-48.0,-48.0,18.0
2020-03-17,-61.0,-9.0,-40.0,-55.0,-55.0,21.0
2020-03-18,-65.0,-15.0,-38.0,-59.0,-58.0,22.0
2020-03-19,-70.0,-25.0,-51.0,-63.0,-62.0,25.0
2020-03-20,-71.0,-21.0,-49.0,-64.0,-63.0,26.0
2020-03-21,-76.0,-23.0,-51.0,-67.0,-41.0,15.0
2020-03-22,-81.0,-38.0,-66.0,-73.0,-48.0,16.0
2020-03-23,-83.0,-57.0,-79.0,-77.0,-75.0,32.0
2020-03-24,-79.0,-39.0,-56.0,-73.0,-74.0,29.0
2020-03-25,-82.0,-48.0,-70.0,-75.0,-75.0,31.0
2020-03-26,-81.0,-42.0,-56.0,-75.0,-75.0,31.0
2020-03-27,-81.0,-45.0,-59.0,-75.0,-74.0,32.0
2020-03-28,-86.0,-50.0,-77.0,-77.0,-56.0,20.0
2020-03-29,-86.0,-51.0,-79.0,-78.0,-57.0,19.0
2020-03-30,-82.0,-50.0,-68.0,-77.0,-77.0,31.0
2020-03-31,-83.0,-49.0,-67.0,-78.0,-78.0,32.0
2020-04-01,-82.0,-46.0,-62.0,-78.0,-77.0,31.0
2020-04-02,-84.0,-47.0,-67.0,-79.0,-78.0,33.0
2020-04-03,-85.0,-50.0,-79.0,-79.0,-78.0,34.0
2020-04-04,-85.0,-43.0,-62.0,-77.0,-57.0,19.0
2020-04-05,-85.0,-47.0,-67.0,-78.0,-56.0,18.0
2020-04-06,-83.0,-48.0,-61.0,-79.0,-77.0,31.0
2020-04-07,-85.0,-47.0,-60.0,-80.0,-78.0,32.0
2020-04-08,-87.0,-49.0,-65.0,-81.0,-79.0,32.0
2020-04-09,-87.0,-51.0,-72.0,-81.0,-80.0,34.0
2020-04-10,-88.0,-50.0,-77.0,-81.0,-79.0,35.0
2020-04-11,-86.0,-42.0,-61.0,-78.0,-55.0,19.0
2020-04-12,-88.0,-51.0,-62.0,-78.0,-56.0,18.0
2020-04-13,-89.0,-63.0,-78.0,-83.0,-79.0,34.0
2020-04-14,-85.0,-45.0,-60.0,-79.0,-77.0,31.0
2020-04-15,-85.0,-47.0,-64.0,-80.0,-77.0,32.0
2020-04-16,-86.0,-46.0,-67.0,-80.0,-77.0,32.0
2020-04-17,-87.0,-48.0,-73.0,-80.0,-76.0,33.0
2020-04-18,-88.0,-46.0,-74.0,-79.0,-54.0,20.0
2020-04-19,-86.0,-44.0,-53.0,-76.0,-51.0,17.0
2020-04-20,-85.0,-49.0,-65.0,-79.0,-76.0,31.0
2020-04-21,-87.0,-53.0,-69.0,-81.0,-77.0,32.0
2020-04-22,-85.0,-46.0,-63.0,-80.0,-76.0,31.0
2020-04-23,-86.0,-47.0,-68.0,-80.0,-77.0,32.0
2020-04-24,-87.0,-52.0,-78.0,-81.0,-76.0,34.0
2020-04-25,-84.0,-36.0,-42.0,-75.0,-49.0,17.0
2020-04-26,-89.0,-54.0,-80.0,-79.0,-55.0,19.0
2020-04-27,-84.0,-49.0,-69.0,-79.0,-75.0,31.0
2020-04-28,-83.0,-41.0,-42.0,-78.0,-75.0,23.0
2020-04-29,-85.0,-47.0,-65.0,-79.0,-76.0,31.0
2020-04-30,-85.0,-49.0,-71.0,-80.0,-77.0,32.0
2020-05-01,-84.0,-43.0,-66.0,-78.0,-74.0,31.0
2020-05-02,-81.0,-31.0,-28.0,-73.0,-45.0,15.0
2020-05-03,-82.0,-38.0,-36.0,-74.0,-47.0,14.0
2020-05-04,-81.0,-43.0,-57.0,-77.0,-74.0,29.0
2020-05-05,-81.0,-39.0,-51.0,-77.0,-74.0,29.0
2020-05-06,-84.0,-47.0,-68.0,-78.0,-75.0,31.0
2020-05-07,-81.0,-36.0,-45.0,-76.0,-74.0,29.0
2020-05-08,-84.0,-45.0,-74.0,-78.0,-73.0,32.0
2020-05-09,-83.0,-33.0,-63.0,-75.0,-48.0,17.0
2020-05-10,-81.0,-36.0,-45.0,-73.0,-46.0,14.0
2020-05-11,-82.0,-49.0,-65.0,-77.0,-73.0,29.0
2020-05-12,-81.0,-38.0,-49.0,-76.0,-73.0,28.0
2020-05-13,-81.0,-39.0,-46.0,-75.0,-73.0,28.0
2020-05-14,-80.0,-39.0,-45.0,-76.0,-73.0,29.0
2020-05-15,-80.0,-39.0,-46.0,-74.0,-71.0,28.0
2020-05-16,-79.0,-32.0,-26.0,-71.0,-43.0,13.0
2020-05-17,-80.0,-37.0,-37.0,-72.0,-44.0,13.0
2020-05-18,-79.0,-42.0,-52.0,-75.0,-71.0,28.0
2020-05-19,-79.0,-38.0,-46.0,-74.0,-72.0,28.0
