date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,6.0,9.0,25.0,14.0,2.0,-1.0
2020-02-16,2.0,13.0,57.0,8.0,0.0,-1.0
2020-02-17,-1.0,6.0,6.0,6.0,9.0,-1.0
2020-02-18,3.0,4.0,-1.0,5.0,7.0,-1.0
2020-02-19,2.0,3.0,11.0,7.0,4.0,-1.0
2020-02-20,7.0,9.0,23.0,8.0,5.0,-2.0
2020-02-21,10.0,7.0,14.0,8.0,9.0,-2.0
2020-02-22,7.0,11.0,34.0,13.0,2.0,0.0
2020-02-23,-1.0,9.0,6.0,2.0,-2.0,0.0
2020-02-24,1.0,6.0,15.0,6.0,8.0,-1.0
2020-02-25,3.0,2.0,3.0,12.0,7.0,-1.0
2020-02-26,2.0,3.0,7.0,5.0,3.0,0.0
2020-02-27,11.0,9.0,25.0,9.0,5.0,-1.0
2020-02-28,14.0,10.0,15.0,9.0,9.0,-2.0
2020-02-29,21.0,20.0,115.0,34.0,0.0,-2.0
2020-03-01,-2.0,5.0,9.0,6.0,-1.0,-1.0
2020-03-02,-1.0,9.0,0.0,5.0,6.0,0.0
2020-03-03,-3.0,9.0,-20.0,4.0,6.0,1.0
2020-03-04,-5.0,10.0,-24.0,-1.0,2.0,2.0
2020-03-05,-4.0,4.0,-20.0,2.0,4.0,3.0
2020-03-06,9.0,16.0,3.0,3.0,8.0,0.0
2020-03-07,3.0,11.0,30.0,13.0,0.0,1.0
2020-03-08,-7.0,6.0,-8.0,-4.0,0.0,1.0
2020-03-09,-7.0,9.0,-18.0,7.0,5.0,2.0
2020-03-10,-2.0,10.0,-15.0,-3.0,6.0,2.0
2020-03-11,-2.0,7.0,-10.0,-3.0,2.0,1.0
2020-03-12,0.0,12.0,7.0,-2.0,0.0,2.0
2020-03-13,-2.0,12.0,-2.0,-4.0,1.0,3.0
2020-03-14,-19.0,2.0,-33.0,-21.0,-4.0,6.0
2020-03-15,-23.0,10.0,-38.0,-27.0,-4.0,4.0
2020-03-16,-25.0,18.0,-39.0,-24.0,-11.0,10.0
2020-03-17,-28.0,20.0,-37.0,-32.0,-20.0,12.0
2020-03-18,-36.0,14.0,-36.0,-38.0,-28.0,15.0
2020-03-19,-39.0,6.0,-27.0,-41.0,-30.0,16.0
2020-03-20,-43.0,-6.0,-38.0,-43.0,-30.0,17.0
2020-03-21,-47.0,-12.0,-34.0,-42.0,-17.0,11.0
2020-03-22,-50.0,-11.0,-46.0,-52.0,-17.0,8.0
2020-03-23,-57.0,-16.0,-49.0,-57.0,-42.0,21.0
2020-03-24,-66.0,-27.0,-59.0,-66.0,-52.0,27.0
2020-03-25,-70.0,-36.0,-63.0,-70.0,-56.0,29.0
2020-03-26,-70.0,-29.0,-53.0,-71.0,-58.0,30.0
2020-03-27,-71.0,-30.0,-51.0,-72.0,-57.0,31.0
2020-03-28,-72.0,-33.0,-52.0,-70.0,-44.0,20.0
2020-03-29,-71.0,-35.0,-55.0,-74.0,-44.0,17.0
2020-03-30,-74.0,-40.0,-58.0,-76.0,-62.0,30.0
2020-03-31,-73.0,-38.0,-60.0,-77.0,-64.0,31.0
2020-04-01,-75.0,-41.0,-63.0,-77.0,-66.0,33.0
2020-04-02,-76.0,-41.0,-66.0,-78.0,-66.0,34.0
2020-04-03,-77.0,-34.0,-65.0,-77.0,-64.0,36.0
2020-04-04,-74.0,-30.0,-59.0,-74.0,-49.0,22.0
2020-04-05,-73.0,-30.0,-58.0,-77.0,-48.0,17.0
2020-04-06,-74.0,-37.0,-58.0,-77.0,-64.0,30.0
