date,congestion,diffRatio
30/12/19,21,-0.363636364
31/12/19,20,-0.459459459
1/1/20,11,-0.710526316
2/1/20,19,-0.512820513
3/1/20,22,-0.421052632
4/1/20,20,-0.285714286
5/1/20,17,-0.260869565
6/1/20,30,-0.090909091
7/1/20,34,-0.081081081
8/1/20,35,-0.078947368
9/1/20,38,-0.025641026
10/1/20,33,-0.131578947
11/1/20,26,-0.071428571
12/1/20,20,-0.130434783
13/1/20,39,0.181818182
14/1/20,44,0.189189189
15/1/20,46,0.210526316
16/1/20,41,0.051282051
17/1/20,39,0.026315789
18/1/20,30,0.071428571
19/1/20,22,-0.043478261
20/1/20,40,0.212121212
21/1/20,45,0.216216216
22/1/20,45,0.184210526
23/1/20,43,0.102564103
24/1/20,41,0.078947368
25/1/20,30,0.071428571
26/1/20,24,0.043478261
27/1/20,42,0.272727273
28/1/20,41,0.108108108
29/1/20,41,0.078947368
30/1/20,41,0.051282051
31/1/20,39,0.026315789
1/2/20,30,0.071428571
2/2/20,22,-0.043478261
3/2/20,37,0.121212121
4/2/20,38,0.027027027
5/2/20,40,0.052631579
6/2/20,40,0.025641026
7/2/20,38,0
8/2/20,27,-0.035714286
9/2/20,18,-0.217391304
10/2/20,41,0.242424242
11/2/20,42,0.135135135
12/2/20,41,0.078947368
13/2/20,45,0.153846154
14/2/20,42,0.105263158
15/2/20,29,0.035714286
16/2/20,23,0
17/2/20,38,0.151515152
18/2/20,39,0.054054054
19/2/20,40,0.052631579
20/2/20,39,0
21/2/20,36,-0.052631579
22/2/20,28,0
23/2/20,24,0.043478261
24/2/20,38,0.151515152
25/2/20,42,0.135135135
26/2/20,43,0.131578947
27/2/20,44,0.128205128
28/2/20,43,0.131578947
29/2/20,32,0.142857143
1/3/20,25,0.086956522
2/3/20,38,0.151515152
3/3/20,41,0.108108108
4/3/20,46,0.210526316
5/3/20,48,0.230769231
6/3/20,42,0.105263158
7/3/20,29,0.035714286
8/3/20,23,0
9/3/20,39,0.181818182
10/3/20,39,0.054054054
11/3/20,39,0.026315789
12/3/20,39,0
13/3/20,34,-0.105263158
14/3/20,23,-0.178571429
15/3/20,16,-0.304347826
16/3/20,33,0
17/3/20,30,-0.189189189
18/3/20,28,-0.263157895
19/3/20,31,-0.205128205
20/3/20,23,-0.394736842
21/3/20,13,-0.535714286
22/3/20,8,-0.652173913
23/3/20,16,-0.515151515
24/3/20,11,-0.702702703
25/3/20,12,-0.684210526
26/3/20,10,-0.743589744
27/3/20,10,-0.736842105
28/3/20,7,-0.75
29/3/20,5,-0.782608696
30/3/20,8,-0.757575758
31/3/20,9,-0.756756757
1/4/20,9,-0.763157895
2/4/20,9,-0.769230769
3/4/20,9,-0.763157895
4/4/20,7,-0.75
5/4/20,5,-0.782608696
6/4/20,9,-0.727272727
7/4/20,10,-0.72972973
8/4/20,10,-0.736842105
9/4/20,10,-0.743589744
10/4/20,6,-0.842105263
11/4/20,7,-0.75
12/4/20,5,-0.782608696
13/4/20,5,-0.848484848
14/4/20,11,-0.702702703
