date,congestion,diffRatio
2019-12-30,22,-0.0434782608695652
2019-12-31,24,0.0
2020-01-01,7,-0.6956521739130435
2020-01-02,21,-0.125
2020-01-03,29,0.074074074074074
2020-01-04,20,0.0526315789473684
2020-01-05,9,0.125
2020-01-06,30,0.3043478260869565
2020-01-07,30,0.25
2020-01-08,28,0.217391304347826
2020-01-09,29,0.2083333333333333
2020-01-10,34,0.2592592592592592
2020-01-11,23,0.2105263157894736
2020-01-12,11,0.375
2020-01-13,29,0.2608695652173913
2020-01-14,31,0.2916666666666667
2020-01-15,33,0.4347826086956521
2020-01-16,34,0.4166666666666667
2020-01-17,40,0.4814814814814815
2020-01-18,35,0.8421052631578947
2020-01-19,16,1.0
2020-01-20,39,0.6956521739130435
2020-01-21,37,0.5416666666666666
2020-01-22,31,0.3478260869565217
2020-01-23,25,0.0416666666666666
2020-01-24,18,-0.3333333333333333
2020-01-25,21,0.1052631578947368
2020-01-26,10,0.25
2020-01-27,5,-0.7826086956521741
2020-01-28,5,-0.7916666666666666
2020-01-29,7,-0.6956521739130435
2020-01-30,9,-0.625
2020-01-31,10,-0.6296296296296297
2020-02-01,8,-0.5789473684210527
2020-02-02,3,-0.625
2020-02-03,17,-0.2608695652173913
2020-02-04,15,-0.375
2020-02-05,15,-0.3478260869565217
2020-02-06,14,-0.4166666666666667
2020-02-07,15,-0.4444444444444444
2020-02-08,10,-0.4736842105263158
2020-02-09,3,-0.625
2020-02-10,17,-0.2608695652173913
2020-02-11,17,-0.2916666666666667
2020-02-12,16,-0.3043478260869565
2020-02-13,18,-0.25
2020-02-14,23,-0.1481481481481481
2020-02-15,11,-0.4210526315789473
2020-02-16,5,-0.375
2020-02-17,18,-0.217391304347826
2020-02-18,16,-0.3333333333333333
2020-02-19,15,-0.3478260869565217
2020-02-20,15,-0.375
2020-02-21,17,-0.3703703703703704
2020-02-22,12,-0.3684210526315789
2020-02-23,4,-0.5
2020-02-24,17,-0.2608695652173913
2020-02-25,16,-0.3333333333333333
2020-02-26,16,-0.3043478260869565
2020-02-27,17,-0.2916666666666667
2020-02-28,18,-0.3333333333333333
2020-02-29,12,-0.3684210526315789
2020-03-01,4,-0.5
2020-03-02,19,-0.1739130434782608
2020-03-03,18,-0.25
2020-03-04,20,-0.1304347826086956
2020-03-05,19,-0.2083333333333333
2020-03-06,20,-0.2592592592592592
2020-03-07,12,-0.3684210526315789
2020-03-08,5,-0.375
2020-03-09,21,-0.0869565217391304
2020-03-10,20,-0.1666666666666666
2020-03-11,18,-0.217391304347826
2020-03-12,17,-0.2916666666666667
2020-03-13,19,-0.2962962962962963
2020-03-14,12,-0.3684210526315789
2020-03-15,4,-0.5
2020-03-16,18,-0.217391304347826
2020-03-17,17,-0.2916666666666667
2020-03-18,17,-0.2608695652173913
2020-03-19,19,-0.2083333333333333
