date,congestion,diffRatio
2019-12-30,29,-0.0333333333333333
2019-12-31,18,-0.4545454545454545
2020-01-01,6,-0.8285714285714286
2020-01-02,22,-0.4054054054054054
2020-01-03,24,-0.3513513513513513
2020-01-04,14,-0.391304347826087
2020-01-05,10,-0.4736842105263158
2020-01-06,29,-0.0333333333333333
2020-01-07,29,-0.1212121212121212
2020-01-08,29,-0.1714285714285714
2020-01-09,31,-0.1621621621621621
2020-01-10,31,-0.1621621621621621
2020-01-11,20,-0.1304347826086956
2020-01-12,15,-0.2105263157894736
2020-01-13,30,0.0
2020-01-14,34,0.0303030303030303
2020-01-15,33,-0.0571428571428571
2020-01-16,35,-0.054054054054054
2020-01-17,36,-0.027027027027027
2020-01-18,22,-0.0434782608695652
2020-01-19,11,-0.4210526315789473
2020-01-20,17,-0.4333333333333333
2020-01-21,31,-0.0606060606060606
2020-01-22,31,-0.1142857142857142
2020-01-23,32,-0.1351351351351351
2020-01-24,33,-0.1081081081081081
2020-01-25,19,-0.1739130434782608
2020-01-26,16,-0.1578947368421052
2020-01-27,27,-0.1
2020-01-28,28,-0.1515151515151515
2020-01-29,31,-0.1142857142857142
2020-01-30,32,-0.1351351351351351
2020-01-31,31,-0.1621621621621621
2020-02-01,17,-0.2608695652173913
2020-02-02,13,-0.3157894736842105
2020-02-03,28,-0.0666666666666666
2020-02-04,28,-0.1515151515151515
2020-02-05,28,-0.2
2020-02-06,37,0.0
2020-02-07,34,-0.081081081081081
2020-02-08,18,-0.217391304347826
2020-02-09,12,-0.3684210526315789
2020-02-10,36,0.2
2020-02-11,33,0.0
2020-02-12,27,-0.2285714285714285
2020-02-13,36,-0.027027027027027
2020-02-14,37,0.0
2020-02-15,16,-0.3043478260869565
2020-02-16,12,-0.3684210526315789
2020-02-17,14,-0.5333333333333333
2020-02-18,24,-0.2727272727272727
2020-02-19,27,-0.2285714285714285
2020-02-20,27,-0.2702702702702703
2020-02-21,28,-0.2432432432432433
2020-02-22,18,-0.217391304347826
2020-02-23,16,-0.1578947368421052
2020-02-24,30,0.0
2020-02-25,35,0.0606060606060606
2020-02-26,33,-0.0571428571428571
2020-02-27,34,-0.081081081081081
2020-02-28,33,-0.1081081081081081
2020-02-29,19,-0.1739130434782608
2020-03-01,15,-0.2105263157894736
2020-03-02,30,0.0
2020-03-03,36,0.0909090909090909
2020-03-04,32,-0.0857142857142857
2020-03-05,34,-0.081081081081081
2020-03-06,40,0.081081081081081
2020-03-07,19,-0.1739130434782608
2020-03-08,13,-0.3157894736842105
2020-03-09,29,-0.0333333333333333
2020-03-10,27,-0.1818181818181818
2020-03-11,26,-0.2571428571428571
2020-03-12,26,-0.2972972972972973
2020-03-13,24,-0.3513513513513513
2020-03-14,9,-0.6086956521739131
2020-03-15,4,-0.7894736842105263
2020-03-16,13,-0.5666666666666667
2020-03-17,12,-0.6363636363636364
