date,congestion,diffRatio
2019-12-30,20,-0.3548387096774194
2019-12-31,19,-0.4571428571428571
2020-01-01,13,-0.6486486486486487
2020-01-02,20,-0.4594594594594595
2020-01-03,21,-0.4166666666666667
2020-01-04,18,-0.3076923076923077
2020-01-05,17,-0.1052631578947368
2020-01-06,22,-0.2903225806451613
2020-01-07,23,-0.3428571428571429
2020-01-08,23,-0.3783783783783784
2020-01-09,24,-0.3513513513513513
2020-01-10,25,-0.3055555555555556
2020-01-11,21,-0.1923076923076923
2020-01-12,17,-0.1052631578947368
2020-01-13,26,-0.1612903225806451
2020-01-14,28,-0.2
2020-01-15,29,-0.2162162162162162
2020-01-16,31,-0.1621621621621621
2020-01-17,32,-0.1111111111111111
2020-01-18,24,-0.0769230769230769
2020-01-19,17,-0.1052631578947368
2020-01-20,28,-0.0967741935483871
2020-01-21,33,-0.0571428571428571
2020-01-22,33,-0.1081081081081081
2020-01-23,33,-0.1081081081081081
2020-01-24,34,-0.0555555555555555
2020-01-25,23,-0.1153846153846154
2020-01-26,18,-0.0526315789473684
2020-01-27,18,-0.4193548387096774
2020-01-28,35,0.0
2020-01-29,37,0.0
2020-01-30,39,0.054054054054054
2020-01-31,38,0.0555555555555555
2020-02-01,26,0.0
2020-02-02,19,0.0
2020-02-03,40,0.2903225806451613
2020-02-04,37,0.0571428571428571
2020-02-05,38,0.027027027027027
2020-02-06,41,0.1081081081081081
2020-02-07,45,0.25
2020-02-08,25,-0.0384615384615384
2020-02-09,20,0.0526315789473684
2020-02-10,41,0.3225806451612903
2020-02-11,42,0.2
2020-02-12,45,0.2162162162162162
2020-02-13,46,0.2432432432432433
2020-02-14,44,0.2222222222222222
2020-02-15,30,0.1538461538461538
2020-02-16,22,0.1578947368421052
2020-02-17,40,0.2903225806451613
2020-02-18,44,0.2571428571428571
2020-02-19,47,0.2702702702702703
2020-02-20,46,0.2432432432432433
2020-02-21,43,0.1944444444444444
2020-02-22,30,0.1538461538461538
2020-02-23,21,0.1052631578947368
2020-02-24,40,0.2903225806451613
2020-02-25,46,0.3142857142857143
2020-02-26,44,0.1891891891891892
2020-02-27,44,0.1891891891891892
2020-02-28,42,0.1666666666666666
2020-02-29,28,0.0769230769230769
2020-03-01,23,0.2105263157894736
2020-03-02,41,0.3225806451612903
2020-03-03,48,0.3714285714285713
2020-03-04,45,0.2162162162162162
2020-03-05,49,0.3243243243243243
2020-03-06,39,0.0833333333333333
2020-03-07,27,0.0384615384615384
2020-03-08,19,0.0
2020-03-09,41,0.3225806451612903
2020-03-10,40,0.1428571428571428
2020-03-11,41,0.1081081081081081
2020-03-12,42,0.1351351351351351
2020-03-13,39,0.0833333333333333
2020-03-14,21,-0.1923076923076923
2020-03-15,16,-0.1578947368421052
2020-03-16,35,0.1290322580645161
2020-03-17,32,-0.0857142857142857
2020-03-18,33,-0.1081081081081081
2020-03-19,31,-0.1621621621621621
2020-03-20,30,-0.1666666666666666
2020-03-21,18,-0.3076923076923077
2020-03-22,13,-0.3157894736842105
2020-03-23,26,-0.1612903225806451
2020-03-24,22,-0.3714285714285713
2020-03-25,23,-0.3783783783783784
2020-03-26,20,-0.4594594594594595
2020-03-27,20,-0.4444444444444444
2020-03-28,13,-0.5
2020-03-29,10,-0.4736842105263158
2020-03-30,18,-0.4193548387096774
2020-03-31,18,-0.4857142857142857
2020-04-01,18,-0.5135135135135135
2020-04-02,20,-0.4594594594594595
2020-04-03,18,-0.5
2020-04-04,13,-0.5
2020-04-05,11,-0.4210526315789473
2020-04-06,18,-0.4193548387096774
2020-04-07,19,-0.4571428571428571
2020-04-08,19,-0.4864864864864865
2020-04-09,20,-0.4594594594594595
2020-04-10,11,-0.6944444444444444
2020-04-11,14,-0.4615384615384616
2020-04-12,11,-0.4210526315789473
2020-04-13,12,-0.6129032258064516
2020-04-14,18,-0.4857142857142857
2020-04-15,19,-0.4864864864864865
2020-04-16,19,-0.4864864864864865
2020-04-17,20,-0.4444444444444444
2020-04-18,14,-0.4615384615384616
2020-04-19,11,-0.4210526315789473
2020-04-20,18,-0.4193548387096774
2020-04-21,19,-0.4571428571428571
2020-04-22,20,-0.4594594594594595
2020-04-23,20,-0.4594594594594595
2020-04-24,21,-0.4166666666666667
2020-04-25,14,-0.4615384615384616
2020-04-26,12,-0.3684210526315789
2020-04-27,19,-0.3870967741935484
2020-04-28,20,-0.4285714285714285
2020-04-29,21,-0.4324324324324325
2020-04-30,20,-0.4594594594594595
2020-05-01,22,-0.3888888888888889
2020-05-02,16,-0.3846153846153846
2020-05-03,13,-0.3157894736842105
2020-05-04,21,-0.3225806451612903
2020-05-05,21,-0.4
2020-05-06,22,-0.4054054054054054
2020-05-07,21,-0.4324324324324325
2020-05-08,24,-0.3333333333333333
2020-05-09,18,-0.3076923076923077
2020-05-10,13,-0.3157894736842105
2020-05-11,22,-0.2903225806451613
2020-05-12,24,-0.3142857142857143
2020-05-13,24,-0.3513513513513513
2020-05-14,24,-0.3513513513513513
2020-05-15,26,-0.2777777777777778
2020-05-16,18,-0.3076923076923077
2020-05-17,14,-0.2631578947368421
2020-05-18,24,-0.2258064516129032
2020-05-19,26,-0.2571428571428571
2020-05-20,26,-0.2972972972972973
2020-05-21,24,-0.3513513513513513
2020-05-22,24,-0.3333333333333333
2020-05-23,19,-0.2692307692307692
2020-05-24,13,-0.3157894736842105
2020-05-25,27,-0.1290322580645161
2020-05-26,29,-0.1714285714285714
2020-05-27,31,-0.1621621621621621
2020-05-28,32,-0.1351351351351351
2020-05-29,32,-0.1111111111111111
2020-05-30,21,-0.1923076923076923
2020-05-31,15,-0.2105263157894736
2020-06-01,30,-0.032258064516129
2020-06-02,31,-0.1142857142857142
2020-06-03,32,-0.1351351351351351
2020-06-04,31,-0.1621621621621621
2020-06-05,36,0.0
2020-06-06,23,-0.1153846153846154
2020-06-07,16,-0.1578947368421052
2020-06-08,14,-0.5483870967741935
2020-06-09,30,-0.1428571428571428
2020-06-10,30,-0.1891891891891892
2020-06-13,20,-0.2307692307692308
2020-06-14,15,-0.2105263157894736
2020-06-15,28,-0.0967741935483871
2020-06-16,30,-0.1428571428571428
2020-06-17,31,-0.1621621621621621
2020-06-18,30,-0.1891891891891892
2020-06-19,32,-0.1111111111111111
2020-06-20,21,-0.1923076923076923
2020-06-21,14,-0.2631578947368421
2020-06-22,27,-0.1290322580645161
2020-06-23,29,-0.1714285714285714
2020-06-24,30,-0.1891891891891892
2020-06-25,31,-0.1621621621621621
2020-06-26,31,-0.1388888888888889
2020-06-27,20,-0.2307692307692308
2020-06-28,15,-0.2105263157894736
