date,apple_driving,apple_walking,citymapper,google_retail_recreation,google_grocery_pharmacy,google_parks,google_transit,google_workplaces,google_residential,tomtom
2019-12-30,,,,,,,,,,95.65217391304348
2019-12-31,,,,,,,,,,100.0
2020-01-01,,,,,,,,,,30.434782608695656
2020-01-02,,,,,,,,,,87.5
2020-01-03,,,,,,,,,,107.4074074074074
2020-01-04,,,,,,,,,,105.26315789473684
2020-01-05,,,,,,,,,,112.5
2020-01-06,,,,,,,,,,130.43478260869566
2020-01-07,,,,,,,,,,125.0
2020-01-08,,,,,,,,,,121.7391304347826
2020-01-09,,,,,,,,,,120.83333333333333
2020-01-10,,,,,,,,,,125.92592592592592
2020-01-11,,,,,,,,,,121.05263157894736
2020-01-12,,,,,,,,,,137.5
2020-01-13,100.0,100.0,,,,,,,,126.08695652173913
2020-01-14,106.79,109.2,,,,,,,,129.16666666666666
2020-01-15,111.3,114.16,,,,,,,,143.47826086956522
2020-01-16,116.0,117.93,,,,,,,,141.66666666666669
2020-01-17,138.02,143.42,,,,,,,,148.14814814814815
2020-01-18,129.52,127.53,,,,,,,,184.21052631578948
2020-01-19,116.02,113.68,,,,,,,,200.0
2020-01-20,118.3,127.75,,,,,,,,169.56521739130434
2020-01-21,114.27,120.06,,,,,,,,154.16666666666666
2020-01-22,108.7,110.21,,,,,,,,134.78260869565216
2020-01-23,95.34,92.92,,,,,,,,104.16666666666666
2020-01-24,82.73,66.38,,,,,,,,66.66666666666667
2020-01-25,75.22,52.37,,,,,,,,110.52631578947368
2020-01-26,77.2,58.63,,,,,,,,125.0
2020-01-27,71.15,55.42,,,,,,,,21.739130434782595
2020-01-28,69.52,56.55,,,,,,,,20.833333333333343
2020-01-29,68.28,55.99,,,,,,,,30.434782608695656
2020-01-30,65.19,50.6,,,,,,,,37.5
2020-01-31,65.86,52.98,,,,,,,,37.03703703703704
2020-02-01,65.95,46.35,,,,,,,,42.10526315789473
2020-02-02,63.83,46.4,,,,,,,,37.5
2020-02-03,66.47,46.9,,,,,,,,73.91304347826087
2020-02-04,67.04,49.33,,,,,,,,62.5
2020-02-05,60.53,44.48,,,,,,,,65.21739130434784
2020-02-06,64.82,47.15,,,,,,,,58.33333333333333
2020-02-07,73.26,53.91,,,,,,,,55.55555555555556
2020-02-08,68.55,47.96,,,,,,,,52.63157894736842
2020-02-09,69.67,47.57,,,,,,,,37.5
2020-02-10,64.46,45.78,,,,,,,,73.91304347826087
2020-02-11,64.37,45.74,,,,,,,,70.83333333333333
2020-02-12,63.81,44.96,,,,,,,,69.56521739130434
2020-02-13,68.84,51.0,,,,,,,,75.0
2020-02-14,79.4,61.39,,,,,,,,85.18518518518519
2020-02-15,69.28,49.16,,74.0,96.0,74.0,66.0,82.0,114.0,57.894736842105274
2020-02-16,63.47,42.81,,72.0,88.0,65.0,64.0,81.0,113.0,62.5
2020-02-17,67.26,49.14,,77.0,97.0,86.0,68.0,79.0,115.0,78.2608695652174
2020-02-18,69.49,51.68,,76.0,95.0,89.0,67.0,79.0,116.0,66.66666666666667
2020-02-19,67.52,51.24,,76.0,92.0,89.0,69.0,83.0,114.0,65.21739130434784
2020-02-20,69.97,53.59,,76.0,89.0,88.0,72.0,89.0,112.0,62.5
2020-02-21,80.37,61.74,,76.0,95.0,86.0,69.0,79.0,117.0,62.96296296296296
2020-02-22,79.72,57.89,,77.0,99.0,95.0,70.0,84.0,113.0,63.15789473684211
2020-02-23,72.64,52.22,,76.0,96.0,93.0,69.0,83.0,111.0,50.0
2020-02-24,62.77,46.86,,77.0,93.0,90.0,69.0,81.0,114.0,73.91304347826087
