date,cases,deaths
2020-02-11,1,
2020-02-12,0,
2020-02-13,0,
2020-02-14,0,
2020-02-15,0,
2020-02-16,0,
2020-02-17,0,
2020-02-18,0,
2020-02-19,0,
2020-02-20,0,
2020-02-21,0,
2020-02-22,0,
2020-02-23,0,
2020-02-24,1,
2020-02-25,3,
2020-02-26,2,
2020-02-27,2,
2020-02-28,3,
2020-02-29,1,
2020-03-01,4,
2020-03-02,12,
2020-03-03,6,
2020-03-04,18,
2020-03-05,14,
2020-03-06,24,
2020-03-07,15,
2020-03-08,22,
2020-03-09,53,2
2020-03-10,92,1
2020-03-11,183,3
2020-03-12,165,6
2020-03-13,135,6
2020-03-14,150,11
2020-03-15,165,8
2020-03-16,233,16
2020-03-17,311,23
2020-03-18,355,26
2020-03-19,331,25
2020-03-20,427,46
2020-03-21,350,46
2020-03-22,438,53
2020-03-23,687,56
2020-03-24,632,87
2020-03-25,758,119
2020-03-26,764,122
2020-03-27,816,127
2020-03-28,576,119
2020-03-29,596,144
2020-03-30,867,150
2020-03-31,934,180
2020-04-01,979,189
2020-04-02,1067,194
2020-04-03,982,192
2020-04-04,767,225
2020-04-05,632,196
2020-04-06,855,197
2020-04-07,952,222
2020-04-08,873,232
2020-04-09,801,199
2020-04-10,618,175
2020-04-11,519,165
2020-04-12,501,171
2020-04-13,596,170
2020-04-14,595,143
2020-04-15,660,147
2020-04-16,575,140
2020-04-17,580,111
2020-04-18,400,121
2020-04-19,395,118
2020-04-20,433,100
2020-04-21,463,106
2020-04-22,398,113
2020-04-23,520,91
2020-04-24,378,87
2020-04-25,333,63
2020-04-26,311,66
2020-04-27,418,60
2020-04-28,313,69
2020-04-29,428,56
2020-04-30,425,52
2020-05-01,354,48
2020-05-02,247,64
2020-05-03,168,51
2020-05-04,249,49
2020-05-05,217,43
2020-05-06,267,48
2020-05-07,273,45
2020-05-08,206,40
2020-05-09,129,33
2020-05-10,126,35
2020-05-11,162,39
2020-05-12,193,29
2020-05-13,204,22
2020-05-14,158,29
2020-05-15,133,28
2020-05-16,72,19
2020-05-17,78,21
2020-05-18,113,22
2020-05-19,129,27
2020-05-20,142,30
2020-05-21,157,21
2020-05-22,81,15
2020-05-23,65,16
2020-05-24,52,8
2020-05-25,57,18
2020-05-26,66,21
2020-05-27,84,17
2020-05-28,75,13
2020-05-29,56,14
2020-05-30,39,17
2020-05-31,38,13
2020-06-01,50,14
2020-06-02,49,15
2020-06-03,79,13
2020-06-04,58,11
2020-06-05,45,5
2020-06-06,46,4
2020-06-07,45,10
2020-06-08,57,11
2020-06-09,71,8
2020-06-10,52,10
2020-06-11,47,8
2020-06-12,54,10
2020-06-13,39,5
2020-06-14,31,8
2020-06-15,41,4
2020-06-16,46,3
2020-06-17,43,3
2020-06-18,46,2
2020-06-19,37,8
2020-06-20,29,7
2020-06-21,27,2
2020-06-22,51,7
2020-06-23,49,5
2020-06-24,46,6
2020-06-25,57,6
2020-06-26,48,6
2020-06-27,32,1
2020-06-28,22,4
2020-06-29,58,3
2020-06-30,52,2
2020-07-01,42,5
2020-07-02,40,2
2020-07-03,38,2
2020-07-04,32,2
2020-07-05,51,7
2020-07-06,54,4
2020-07-07,60,3
2020-07-08,57,3
2020-07-09,54,3
2020-07-10,40,2
2020-07-11,19,6
2020-07-12,38,1
2020-07-13,85,3
2020-07-14,62,1
2020-07-15,76,1
2020-07-16,70,2
2020-07-17,48,5
2020-07-18,47,1
2020-07-19,41,2
2020-07-20,98,1
2020-07-21,81,1
2020-07-22,80,3
2020-07-23,70,4
2020-07-24,83,0
2020-07-25,56,1
2020-07-26,65,0
2020-07-27,100,1
2020-07-28,100,2
2020-07-29,99,1
2020-07-30,102,0
2020-07-31,73,4
2020-08-01,58,3
2020-08-02,75,3
2020-08-03,87,0
2020-08-04,104,2
2020-08-05,113,0
2020-08-06,105,3
2020-08-07,122,0
2020-08-08,55,3
2020-08-09,67,0
2020-08-10,143,2
2020-08-11,149,2
2020-08-12,161,2
2020-08-13,124,2
2020-08-14,126,0
2020-08-15,107,0
2020-08-16,88,0
2020-08-17,189,2
2020-08-18,182,2
2020-08-19,153,0
2020-08-20,204,2
2020-08-21,166,0
2020-08-22,119,3
2020-08-23,144,0
2020-08-24,195,0
2020-08-25,170,1
2020-08-26,165,0
2020-08-27,229,0
2020-08-28,220,0
2020-08-29,139,1
2020-08-30,133,0
2020-08-31,216,1
2020-09-01,314,1
2020-09-02,333,1
2020-09-03,347,2
2020-09-04,356,0
2020-09-05,272,1
2020-09-06,203,2
2020-09-07,463,0
2020-09-08,342,1
2020-09-09,345,2
2020-09-10,392,3
2020-09-11,333,4
2020-09-12,229,0
2020-09-13,114,0
2020-09-14,296,0
2020-09-15,270,1
2020-09-16,292,2
2020-09-17,323,6
2020-09-18,387,2
2020-09-19,338,5
2020-09-20,409,5
2020-09-21,427,5
2020-09-22,520,6
2020-09-23,657,7
2020-09-24,598,2
2020-09-25,603,1
2020-09-26,548,1
2020-09-27,530,2
2020-09-28,747,6
2020-09-29,705,9
2020-09-30,992,6
2020-10-01,1073,6
2020-10-02,1039,4
2020-10-03,792,3
2020-10-04,824,2
2020-10-05,1295,10
2020-10-06,1176,5
2020-10-07,1417,7
2020-10-08,1484,6
2020-10-09,1350,9
2020-10-10,876,6
2020-10-11,740,4
2020-10-12,1576,6
2020-10-13,1425,5
2020-10-14,1623,4
2020-10-15,1721,14
2020-10-16,1655,7
2020-10-17,1106,4
2020-10-18,1296,6
2020-10-19,2335,11
2020-10-20,2319,8
2020-10-21,2352,15
2020-10-22,2170,12
2020-10-23,2006,7
2020-10-24,1435,18
2020-10-25,1291,11
2020-10-26,2525,13
2020-10-27,2087,14
2020-10-28,1968,21
2020-10-29,2010,12
2020-10-30,1870,14
2020-10-31,1384,7
2020-11-01,1202,19
2020-11-02,2913,20
2020-11-03,2126,14
2020-11-04,2046,16
2020-11-05,2089,18
2020-11-06,2112,18
2020-11-07,1648,26
2020-11-08,1756,20
2020-11-09,3077,29
2020-11-10,2721,16
2020-11-11,2906,13
2020-11-12,2837,21
2020-11-13,2693,15
2020-11-14,1920,23
2020-11-15,1792,21
2020-11-16,3071,36
2020-11-17,2557,33
2020-11-18,2453,21
2020-11-19,2179,28
2020-11-20,2105,30
2020-11-21,1476,22
2020-11-22,1479,33
2020-11-23,2386,22
2020-11-24,2150,32
2020-11-25,2235,41
2020-11-26,2063,32
2020-11-27,2193,30
2020-11-28,1637,36
2020-11-29,1651,51
2020-11-30,2686,31
2020-12-01,2452,26
2020-12-02,2793,31
2020-12-03,2450,37
2020-12-04,2910,37
2020-12-05,2237,32
2020-12-06,2421,32
2020-12-07,3705,37
2020-12-08,3695,43
2020-12-09,4407,32
2020-12-10,4992,35
2020-12-11,5465,31
2020-12-12,4653,48
2020-12-13,5492,32
2020-12-14,8311,41
2020-12-15,8814,52
2020-12-16,9963,39
2020-12-17,10127,65
2020-12-18,10772,53
2020-12-19,7140,55
2020-12-20,8880,61
2020-12-21,13221,68
2020-12-22,13320,89
2020-12-23,12313,78
2020-12-24,9406,70
2020-12-25,4323,96
2020-12-26,11857,99
2020-12-27,13122,110
2020-12-28,10668,107
2020-12-29,19857,120
2020-12-30,17298,129
2020-12-31,12389,138
2021-01-01,6734,148
2021-01-02,13622,155
2021-01-03,13106,144
2021-01-04,17218,173
2021-01-05,14533,187
2021-01-06,13531,175
2021-01-07,12053,198
2021-01-08,10514,185
2021-01-09,8728,187
2021-01-10,7459,200
2021-01-11,11532,197
2021-01-12,9814,208
2021-01-13,9302,211
2021-01-14,8914,207
2021-01-15,8183,190
2021-01-16,6162,210
2021-01-17,5381,218
2021-01-18,8294,225
2021-01-19,6994,224
2021-01-20,6239,202
2021-01-21,5784,203
2021-01-22,5562,178
2021-01-23,4142,173
2021-01-24,3115,163
2021-01-25,4956,172
2021-01-26,4139,146
2021-01-27,4201,162
2021-01-28,3854,140
2021-01-29,3374,139
2021-01-30,2622,106
2021-01-31,2227,117
2021-02-01,3291,118
2021-02-02,2940,124
2021-02-03,2695,125
2021-02-04,2463,87
2021-02-05,2109,117
2021-02-06,1540,93
2021-02-07,1342,93
2021-02-08,1796,92
2021-02-09,1658,79
2021-02-10,1530,85
2021-02-11,1438,67
2021-02-12,1272,64
2021-02-13,864,72
2021-02-14,881,58
2021-02-15,1379,66
2021-02-16,1196,71
2021-02-17,1086,63
2021-02-18,1102,74
2021-02-19,1025,64
2021-02-20,798,47
2021-02-21,738,62
2021-02-22,1020,53
2021-02-23,916,39
2021-02-24,728,44
2021-02-25,648,38
2021-02-26,620,30
2021-02-27,499,28
2021-02-28,473,33
2021-03-01,549,48
2021-03-02,657,29
2021-03-03,579,23
2021-03-04,508,26
