date,apple_driving,apple_transit,apple_walking,citymapper,google_retail_recreation,google_grocery_pharmacy,google_parks,google_transit,google_workplaces,google_residential,tomtom,waze
2019-12-30,,,,,,,,,,,96.66666666666667,
2019-12-31,,,,,,,,,,,54.545454545454554,
2020-01-01,,,,,,,,,,,17.14285714285714,
2020-01-02,,,,,,,,,,,59.45945945945946,
2020-01-03,,,,,,,,,,,64.86486486486487,
2020-01-04,,,,,,,,,,,60.869565217391305,
2020-01-05,,,,,,,,,,,52.63157894736842,
2020-01-06,,,,,,,,,,,96.66666666666667,
2020-01-07,,,,,,,,,,,87.87878787878788,
2020-01-08,,,,,,,,,,,82.85714285714286,
2020-01-09,,,,,,,,,,,83.78378378378379,
2020-01-10,,,,,,,,,,,83.78378378378379,
2020-01-11,,,,,,,,,,,86.95652173913044,
2020-01-12,,,,,,,,,,,78.94736842105264,
2020-01-13,100.0,100.0,100.0,,,,,,,,100.0,
2020-01-14,101.51,92.66,96.09,,,,,,,,103.03030303030303,
2020-01-15,104.51,95.29,105.77,,,,,,,,94.28571428571429,
2020-01-16,108.78,96.42,101.73,,,,,,,,94.5945945945946,
2020-01-17,122.44,107.5,117.09,,,,,,,,97.2972972972973,
2020-01-18,99.7,101.22,115.37,,,,,,,,95.65217391304348,
2020-01-19,93.56,93.41,110.42,,,,,,,,57.894736842105274,
2020-01-20,97.6,87.91,88.56,,,,,,,,56.66666666666667,
2020-01-21,99.99,94.76,91.09,,,,,,,,93.93939393939394,
2020-01-22,101.69,98.07,98.48,,,,,,,,88.57142857142858,
2020-01-23,106.78,101.52,105.69,,,,,,,,86.48648648648648,
2020-01-24,121.91,114.06,131.74,,,,,,,,89.1891891891892,
2020-01-25,112.91,105.16,122.53,,,,,,,,82.60869565217392,
2020-01-26,89.93,85.92,98.1,,,,,,,,84.21052631578948,
2020-01-27,94.43,91.57,91.96,,,,,,,,90.0,
2020-01-28,97.47,91.79,93.49,,,,,,,,84.84848484848484,
2020-01-29,99.39,93.18,95.82,,,,,,,,88.57142857142858,
2020-01-30,103.34,98.02,100.4,,,,,,,,86.48648648648648,
2020-01-31,119.15,110.46,126.24,,,,,,,,83.78378378378379,
2020-02-01,116.34,109.24,136.71,,,,,,,,73.91304347826087,
2020-02-02,85.28,83.39,89.21,,,,,,,,68.42105263157895,
2020-02-03,95.86,91.31,97.54,,,,,,,,93.33333333333334,
2020-02-04,98.35,92.84,98.84,,,,,,,,84.84848484848484,
2020-02-05,99.11,93.88,98.97,,,,,,,,80.0,
2020-02-06,104.82,97.57,100.91,,,,,,,,100.0,
2020-02-07,117.89,111.75,122.43,,,,,,,,91.8918918918919,
2020-02-08,119.65,117.34,143.47,,,,,,,,78.2608695652174,
